"";"Antonio Rudiger";"Dani Carvajal";"Eduardo Camavinga";"Federico Valverde";"Ferland Mendy";"Joselu";"Jude Bellingham";"Luka Modric";"Nacho Fernandez";"Rodrygo";"Thibaut Courtois";"Toni Kroos";"Vinicius Junior"
"Antonio Rudiger";0;0.258;0.045;0.136;0;0;0.03;0;0.197;0.03;0.091;0.212;0
"Dani Carvajal";0.188;0;0.146;0.292;0;0.021;0.042;0.042;0.042;0.083;0.042;0.104;0
"Eduardo Camavinga";0.148;0.13;0;0.148;0.037;0;0.111;0;0.111;0;0.019;0.185;0.111
"Federico Valverde";0.149;0.213;0.234;0;0.021;0;0.085;0.021;0.021;0.064;0;0.149;0.043
"Ferland Mendy";0;0;0.109;0.043;0;0;0.065;0;0.174;0.022;0.043;0.304;0.239
"Joselu";0;0;0;0;0;0;0;0.5;0;0;0;0;0.5
"Jude Bellingham";0.129;0.065;0.226;0.194;0.129;0;0;0;0;0.032;0;0.065;0.161
"Luka Modric";0;0.286;0.143;0;0;0.143;0;0;0;0.143;0;0;0.286
"Nacho Fernandez";0.259;0;0.056;0.019;0.167;0;0.019;0;0;0;0.037;0.426;0.019
"Rodrygo";0;0.188;0;0.188;0.062;0;0.312;0.062;0;0;0;0.125;0.062
"Thibaut Courtois";0.312;0.125;0;0;0;0;0;0;0.438;0;0;0.125;0
"Toni Kroos";0.229;0;0.181;0.072;0.169;0;0.12;0;0.133;0.024;0.012;0;0.06
"Vinicius Junior";0;0;0.118;0.059;0.529;0;0.176;0;0;0.059;0;0.059;0
