"";"Abdulkerim Bardakci";"Angelino";"Baris Yilmaz";"Dries Mertens";"Fernando Muslera";"Hakim Ziyech";"Kerem Akturkoglu";"Kerem Demirbay";"Lucas Torreira";"Mateus Tete";"Mauro Icardi";"Sacha Boey";"Sergio Oliveira";"Tanguy Ndombele";"Victor Nelsson";"Wilfried Zaha"
"Abdulkerim Bardakci";0;0.261;0;0.014;0.072;0.029;0.014;0.116;0.101;0;0;0.029;0.058;0.029;0.246;0.029
"Angelino";0.298;0;0;0.035;0;0.018;0.158;0.053;0.088;0;0;0;0.105;0.035;0.018;0.193
"Baris Yilmaz";0;0.143;0;0;0;0;0;0;0.143;0.429;0;0;0.143;0.143;0;0
"Dries Mertens";0;0;0;0;0;0;0.25;0;0;0;0.375;0.25;0;0;0.125;0
"Fernando Muslera";0.286;0.179;0;0;0;0;0;0.071;0.107;0;0;0.036;0;0;0.321;0
"Hakim Ziyech";0.067;0.067;0;0;0;0;0.133;0.2;0;0;0;0.267;0;0;0.267;0
"Kerem Akturkoglu";0.182;0.182;0;0;0;0.091;0;0;0.182;0.091;0.182;0.091;0;0;0;0
"Kerem Demirbay";0.217;0.13;0;0.043;0.087;0;0.043;0;0.087;0;0.043;0.13;0;0;0.217;0
"Lucas Torreira";0.118;0.118;0.02;0.039;0.02;0.078;0.078;0.059;0;0.078;0.078;0.157;0.118;0;0.039;0
"Mateus Tete";0.125;0.062;0.062;0;0;0;0.062;0;0.188;0;0;0.312;0.062;0.062;0;0.062
"Mauro Icardi";0;0.125;0.125;0.25;0;0;0.375;0;0;0;0;0;0;0;0.125;0
"Sacha Boey";0.017;0.017;0.017;0;0.017;0.138;0.034;0.069;0.207;0.138;0.017;0;0.017;0.052;0.259;0
"Sergio Oliveira";0.154;0.154;0;0;0.038;0;0.077;0;0.231;0.038;0;0.115;0;0;0.038;0.154
"Tanguy Ndombele";0.154;0;0.154;0;0;0;0;0;0.154;0.154;0;0.231;0.077;0;0;0.077
"Victor Nelsson";0.323;0.016;0;0.016;0.226;0.097;0.016;0.032;0.065;0.016;0;0.177;0.016;0;0;0
"Wilfried Zaha";0.2;0.067;0.133;0;0;0;0;0;0.267;0.067;0;0;0.133;0.133;0;0
