"";"Alphonso Davies";"Dayot Upamecano";"Eric Choupo-Moting";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kim Min-jae";"Kingsley Coman";"Konrad Laimer";"Leon Goretzka";"Leroy Sane";"Serge Gnabry";"Sven Ulreich";"Thomas Muller"
"Alphonso Davies";0;0.021;0;0;0.043;0.128;0.34;0;0;0.043;0.106;0.149;0.17;0
"Dayot Upamecano";0.024;0;0;0.084;0.012;0.084;0.253;0.036;0.229;0.072;0.06;0;0.145;0
"Eric Choupo-Moting";0;0;0;0;0;0;0.143;0.143;0;0.286;0.286;0;0;0.143
"Harry Kane";0.059;0.176;0.059;0;0.059;0;0;0.118;0.176;0;0.235;0;0.118;0
"Jamal Musiala";0.045;0.091;0;0.136;0;0.091;0.182;0;0;0.091;0.227;0.091;0.045;0
"Joshua Kimmich";0.172;0.224;0.034;0;0.086;0;0.224;0.017;0.103;0.069;0;0.034;0.034;0
"Kim Min-jae";0.263;0.2;0;0.021;0.042;0.168;0;0.011;0.011;0.116;0.011;0.021;0.137;0
"Kingsley Coman";0;0;0.105;0.105;0.053;0.105;0;0;0.316;0.211;0.105;0;0;0
"Konrad Laimer";0;0.226;0.019;0.094;0.057;0.019;0;0.208;0;0.151;0.17;0;0.057;0
"Leon Goretzka";0.087;0.217;0.022;0.043;0.043;0.196;0.217;0.022;0.087;0;0.043;0.022;0;0
"Leroy Sane";0.111;0.074;0.074;0.148;0.148;0.037;0.111;0.074;0.074;0.148;0;0;0;0
"Serge Gnabry";0.357;0;0;0;0.214;0.143;0.143;0;0;0.071;0;0;0.071;0
"Sven Ulreich";0;0.378;0;0;0;0.133;0.4;0;0.067;0;0;0.022;0;0
"Thomas Muller";0;0;1;0;0;0;0;0;0;0;0;0;0;0
