"";"Andre Ramalho";"Armel Bella Kotchap";"Hirving Lozano";"Ismael Saibari";"Jerdy Schouten";"Joey Veerman";"Johan Bakayoko";"Jordan Teze";"Luuk de Jong";"Malik Tillman";"Noa Lang";"Olivier Boscagli";"Sergino Dest";"Walter Benitez";"Yorbe Vertessen"
"Andre Ramalho";0;0;0;0;0;0;0;0.5;0;0;0;0;0;0.5;0
"Armel Bella Kotchap";0;0;0;0.062;0;0.094;0;0.344;0;0.031;0.062;0.219;0;0.188;0
"Hirving Lozano";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Ismael Saibari";0;0.067;0;0;0.133;0.2;0.2;0.067;0.067;0;0;0.133;0.133;0;0
"Jerdy Schouten";0;0.069;0;0.103;0;0.207;0.069;0.172;0.138;0;0.103;0.103;0;0.034;0
"Joey Veerman";0;0.031;0.031;0.062;0.188;0;0.094;0.094;0.062;0.031;0.125;0.031;0.219;0.031;0
"Johan Bakayoko";0;0.05;0;0.2;0.1;0.1;0;0.25;0.15;0;0;0;0.05;0.1;0
"Jordan Teze";0.057;0.143;0.057;0;0.171;0.229;0.2;0;0.029;0;0.029;0;0;0.086;0
"Luuk de Jong";0;0.071;0;0.143;0.214;0;0.286;0.071;0;0.071;0;0.071;0.071;0;0
"Malik Tillman";0;0;0;0;0;0;0;0.5;0;0;0;0;0.5;0;0
"Noa Lang";0;0;0;0;0.059;0.176;0.176;0;0;0;0;0.059;0.471;0.059;0
"Olivier Boscagli";0.053;0.237;0;0.026;0.079;0.079;0.053;0.026;0;0.026;0.105;0;0.211;0.105;0
"Sergino Dest";0;0.083;0;0.083;0.028;0.167;0.028;0;0.028;0;0.306;0.222;0;0.028;0.028
"Walter Benitez";0.095;0.381;0;0;0.048;0.048;0;0.048;0;0;0;0.333;0.048;0;0
"Yorbe Vertessen";0;0;0;0;0;0;0;0;0;0.5;0;0;0.5;0;0
