"";"Adrien Thomasson";"Andy Diouf";"Angelo Fulgini";"Brice Samba";"Deiver Machado";"Elye Wahi";"Facundo Medina";"Florian Sotoca";"Jonathan Gradit";"Kevin Danso";"Morgan Guilavogui";"Nampalys Mendy";"Przemyslaw Frankowski";"Salis Samed"
"Adrien Thomasson";0;0.25;0;0;0.25;0;0;0.25;0;0;0;0;0;0.25
"Andy Diouf";0.3;0;0;0;0.2;0;0.1;0;0.1;0;0.1;0;0.1;0.1
"Angelo Fulgini";0;0;0;0;0.222;0.167;0.111;0.111;0.056;0;0.056;0.056;0.111;0.111
"Brice Samba";0;0;0;0;0.167;0;0.5;0.083;0.167;0.083;0;0;0;0
"Deiver Machado";0;0.133;0.267;0.033;0;0.033;0.3;0;0;0;0.033;0.133;0;0.067
"Elye Wahi";0;0;0.333;0;0;0;0.333;0.333;0;0;0;0;0;0
"Facundo Medina";0;0.054;0.189;0.135;0.189;0;0;0;0;0.135;0;0.216;0;0.081
"Florian Sotoca";0;0.074;0.037;0;0.037;0.185;0;0;0.074;0.037;0.074;0.037;0.37;0.074
"Jonathan Gradit";0;0;0.059;0.059;0;0;0;0.235;0;0.118;0;0.059;0.294;0.176
"Kevin Danso";0;0;0.053;0.211;0.053;0;0.105;0.263;0.105;0;0.053;0.053;0.053;0.053
"Morgan Guilavogui";0.2;0;0.2;0;0;0;0;0.4;0;0;0;0;0.2;0
"Nampalys Mendy";0;0;0.25;0;0.188;0.062;0.25;0;0.125;0;0;0;0;0.125
"Przemyslaw Frankowski";0;0;0.074;0.037;0;0.074;0;0.37;0.185;0.074;0.037;0;0;0.148
"Salis Samed";0;0.042;0.083;0;0.083;0.042;0.208;0.167;0.208;0.125;0;0;0.042;0
