"";"Antonio Rudiger";"Aurelien Tchouameni";"Brahim Diaz";"David Alaba";"Eduardo Camavinga";"Federico Valverde";"Fran Garcia";"Joselu";"Jude Bellingham";"Kepa Arrizabalaga";"Lucas Vazquez";"Luka Modric";"Nacho Fernandez";"Rodrygo";"Toni Kroos"
"Antonio Rudiger";0;0.125;0;0.042;0.097;0.014;0;0.028;0.083;0.056;0.153;0.028;0.208;0.028;0.139
"Aurelien Tchouameni";0.125;0;0;0.139;0.139;0;0;0;0.042;0;0.139;0.264;0.097;0.056;0
"Brahim Diaz";0;0;0;0;0;0.6;0;0;0;0;0;0;0;0.4;0
"David Alaba";0.041;0.11;0;0;0.192;0.014;0.027;0.041;0.164;0.041;0;0.041;0.192;0.11;0.027
"Eduardo Camavinga";0.101;0.165;0;0.114;0;0;0;0.051;0.101;0.025;0.114;0.127;0.127;0.076;0
"Federico Valverde";0.125;0;0.125;0.042;0;0;0;0;0.083;0;0.333;0.083;0;0;0.208
"Fran Garcia";0;0;0;0.077;0;0;0;0;0.077;0.154;0.077;0;0;0.077;0.538
"Joselu";0;0.118;0.059;0.176;0.059;0;0.059;0;0.118;0;0.059;0.118;0.176;0;0.059
"Jude Bellingham";0.069;0.034;0.034;0.086;0.155;0.017;0.034;0.086;0;0;0.138;0.155;0.103;0.086;0
"Kepa Arrizabalaga";0.2;0.033;0;0.067;0.1;0.033;0.067;0;0;0;0.1;0.033;0.267;0;0.1
"Lucas Vazquez";0.167;0.141;0.038;0.013;0.09;0.09;0.013;0.026;0.064;0.051;0;0.141;0;0.103;0.064
"Luka Modric";0;0.132;0;0.088;0.132;0;0.015;0.015;0.206;0.015;0.191;0;0.044;0.118;0.044
"Nacho Fernandez";0.143;0.156;0;0.273;0.13;0.013;0;0.013;0.091;0.078;0.013;0.039;0;0.039;0.013
"Rodrygo";0.075;0.1;0;0.175;0.15;0.05;0;0.05;0.125;0;0.15;0.125;0;0;0
"Toni Kroos";0.086;0;0.029;0.057;0;0.2;0.029;0.057;0.143;0;0.114;0.114;0.086;0.086;0
