"";"Alex Meret";"Amir Rrahmani";"Eljif Elmas";"Giacomo Raspadori";"Giovanni Di Lorenzo";"Giovanni Simeone";"Juan Jesus";"Khvicha Kvaratskhelia";"Leo Ostigard";"Mathias Olivera";"Matteo Politano";"Piotr Zielinski";"Stanislav Lobotka";"Victor Osimhen";"Zambo Anguissa"
"Alex Meret";0;0.067;0;0;0.133;0;0.333;0;0.467;0;0;0;0;0;0
"Amir Rrahmani";0.333;0;0;0;0.333;0;0.167;0;0;0;0;0;0.167;0;0
"Eljif Elmas";0;0;0;0.2;0;0;0;0;0;0.2;0;0.4;0.2;0;0
"Giacomo Raspadori";0;0;0;0;0.167;0;0;0;0;0.167;0;0.167;0;0.5;0
"Giovanni Di Lorenzo";0.075;0.025;0;0.05;0;0;0.025;0;0.025;0.05;0.3;0.025;0.225;0;0.2
"Giovanni Simeone";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Juan Jesus";0.129;0.032;0.032;0;0.032;0;0;0.097;0.161;0.129;0;0.194;0.097;0.032;0.065
"Khvicha Kvaratskhelia";0;0;0;0;0.062;0;0;0;0;0.312;0.125;0.188;0.062;0.25;0
"Leo Ostigard";0.174;0;0;0;0.391;0;0.174;0;0;0.043;0.043;0.087;0;0;0.087
"Mathias Olivera";0.029;0;0.029;0;0;0;0.029;0.235;0.029;0;0;0.265;0.206;0.176;0
"Matteo Politano";0;0;0;0;0.417;0;0;0.083;0;0;0;0.167;0.167;0;0.167
"Piotr Zielinski";0;0;0.081;0.054;0.054;0;0.108;0.216;0.081;0.162;0.027;0;0.135;0.054;0.027
"Stanislav Lobotka";0.021;0.043;0;0.021;0.17;0.021;0.106;0.064;0.064;0.149;0.043;0.043;0;0.085;0.17
"Victor Osimhen";0;0;0.071;0.214;0;0;0;0.286;0;0.071;0;0;0.143;0;0.214
"Zambo Anguissa";0;0;0;0.107;0.143;0;0.071;0.036;0.071;0.036;0.107;0.143;0.286;0;0
