"";"Alessandro Bastoni";"Alexis Sanchez";"Benjamin Pavard";"Carlos Augusto";"Davide Frattesi";"Denzel Dumfries";"Federico Dimarco";"Francesco Acerbi";"Henrikh Mkhitaryan";"Kristjan Asllani";"Lautaro Martinez";"Marcus Thuram";"Marko Arnautovic";"Nicolo Barella";"Stefan de Vrij";"Yann Sommer"
"Alessandro Bastoni";0;0;0.111;0.222;0;0;0;0;0.074;0.074;0;0;0;0.074;0.333;0.111
"Alexis Sanchez";0;0;0;0;0.333;0.167;0.167;0;0;0;0;0.167;0;0;0.167;0
"Benjamin Pavard";0.022;0.022;0;0.044;0.022;0.2;0.022;0.044;0.022;0.067;0.044;0.044;0.022;0.133;0.133;0.156
"Carlos Augusto";0.207;0;0;0;0;0.034;0.241;0.103;0;0.069;0.069;0;0.034;0.172;0.034;0.034
"Davide Frattesi";0;0.25;0.125;0;0;0;0.125;0;0;0;0;0.25;0;0.125;0.125;0
"Denzel Dumfries";0;0;0.375;0;0.083;0;0;0;0.083;0.125;0;0;0.042;0.167;0.083;0.042
"Federico Dimarco";0;0.1;0;0.35;0;0;0;0;0.05;0;0.1;0;0;0.2;0.1;0.1
"Francesco Acerbi";0;0;0.222;0.111;0;0.111;0.111;0;0;0;0;0.111;0;0.111;0;0.222
"Henrikh Mkhitaryan";0.062;0;0.188;0.125;0;0.062;0.125;0;0;0.125;0.062;0;0.062;0.062;0;0.125
"Kristjan Asllani";0.182;0;0;0.091;0;0.045;0;0;0.091;0;0.091;0;0.091;0.136;0.227;0.045
"Lautaro Martinez";0.182;0;0;0.273;0;0;0;0.091;0.182;0.091;0;0;0.091;0.091;0;0
"Marcus Thuram";0;0.25;0;0;0;0.25;0;0;0;0;0.25;0;0;0.25;0;0
"Marko Arnautovic";0;0;0;0;0;0.25;0;0;0.25;0.25;0;0;0;0.25;0;0
"Nicolo Barella";0.029;0.088;0.206;0.118;0.029;0.088;0.088;0;0.059;0.118;0;0;0.059;0;0.088;0.029
"Stefan de Vrij";0.179;0;0.256;0.026;0.026;0.051;0.103;0;0;0.026;0;0;0;0.077;0;0.256
"Yann Sommer";0.231;0;0.308;0.077;0.038;0;0.038;0.038;0.077;0.115;0;0;0;0.038;0.038;0
