"";"Adam Marusic";"Alessio Romagnoli";"Ciro Immobile";"Daichi Kamada";"Danilo Cataldi";"Felipe Anderson";"Gustav Isaksen";"Ivan Provedel";"Luca Pellegrini";"Luis Alberto";"Manuel Lazzari";"Matias Vecino";"Matteo Guendouzi";"Mattia Zaccagni";"Patric Gil";"Pedro Rodriguez"
"Adam Marusic";0;0.115;0;0.135;0.019;0.058;0;0.038;0;0.154;0;0.115;0;0.154;0.115;0.096
"Alessio Romagnoli";0.22;0;0;0.034;0.034;0;0;0.034;0.119;0.271;0.034;0.102;0.017;0.017;0.119;0
"Ciro Immobile";0;0;0;0.167;0;0;0.083;0;0;0.417;0;0.333;0;0;0;0
"Daichi Kamada";0.25;0.167;0.042;0;0;0.042;0;0;0.042;0;0.042;0.125;0;0;0.292;0
"Danilo Cataldi";0.091;0;0;0;0;0;0;0;0;0.455;0.182;0;0.182;0;0;0.091
"Felipe Anderson";0.062;0;0.062;0.312;0;0;0;0;0;0.062;0.188;0.188;0;0;0.125;0
"Gustav Isaksen";0;0.143;0;0;0;0;0;0;0;0;0.143;0;0.5;0;0.214;0
"Ivan Provedel";0.143;0.214;0;0;0;0;0;0;0.143;0;0.071;0.071;0;0;0.357;0
"Luca Pellegrini";0;0.171;0.029;0;0;0.029;0;0.029;0;0.257;0;0.057;0;0.343;0.086;0
"Luis Alberto";0.122;0.135;0.068;0.014;0;0.014;0;0;0.108;0;0.014;0.149;0.014;0.243;0.027;0.095
"Manuel Lazzari";0;0.065;0;0;0;0.194;0.258;0;0;0.032;0;0.065;0.097;0;0.29;0
"Matias Vecino";0.171;0.073;0;0.146;0;0.024;0;0;0.146;0.171;0.049;0;0.024;0.049;0.146;0
"Matteo Guendouzi";0;0;0.053;0;0.158;0;0.316;0;0;0;0.316;0;0;0;0.105;0.053
"Mattia Zaccagni";0.061;0.091;0.061;0.03;0;0.03;0;0;0.152;0.424;0;0.121;0;0;0.03;0
"Patric Gil";0.154;0.169;0;0.046;0.046;0.046;0.015;0.046;0.108;0.092;0.108;0.077;0.062;0.015;0;0.015
"Pedro Rodriguez";0.143;0.071;0.071;0;0.071;0;0;0;0;0.429;0.071;0;0;0;0.143;0
