"";"Alistair Johnston";"Callum McGregor";"Daizen Maeda";"Greg Taylor";"Gustaf Lagerbielke";"Hyeon-gyu Oh";"Hyun-jun Yang";"Joe Hart";"Kyogo Furuhashi";"Liam Scales";"Luis Palma";"Matt O'Riley";"Paulo Bernardo";"Reo Hatate";"Tomoki Iwata"
"Alistair Johnston";0;0.147;0.088;0.029;0.324;0;0.118;0.029;0.059;0.029;0;0.118;0;0.059;0
"Callum McGregor";0.179;0;0.036;0.107;0.107;0;0;0.071;0.036;0.036;0.143;0.107;0;0.107;0.071
"Daizen Maeda";0.333;0;0;0.167;0;0;0;0;0.167;0;0.167;0.167;0;0;0
"Greg Taylor";0.037;0.111;0.037;0;0;0;0;0.037;0;0.444;0.259;0.037;0;0.037;0
"Gustaf Lagerbielke";0.224;0.041;0;0;0;0;0;0.122;0.02;0.49;0.02;0.082;0;0;0
"Hyeon-gyu Oh";0;0;0;0.333;0;0;0.333;0;0;0;0;0;0;0;0.333
"Hyun-jun Yang";0;0;0;0;0;0.25;0;0;0;0;0;0.25;0.25;0;0.25
"Joe Hart";0.091;0.061;0;0.061;0.273;0;0;0;0;0.485;0;0.03;0;0;0
"Kyogo Furuhashi";0;0;0;0;0.25;0;0;0;0;0.25;0;0.25;0;0.25;0
"Liam Scales";0;0.091;0.015;0.121;0.258;0.015;0;0.182;0.015;0;0.045;0.061;0;0.167;0.03
"Luis Palma";0.083;0.333;0;0.333;0;0;0;0;0;0.083;0;0.083;0;0.083;0
"Matt O'Riley";0.273;0.045;0.136;0.136;0.091;0;0;0.091;0;0.045;0.136;0;0;0.045;0
"Paulo Bernardo";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Reo Hatate";0;0.188;0.062;0.062;0.125;0;0;0.125;0;0.125;0.188;0.125;0;0;0
"Tomoki Iwata";0.2;0;0;0;0;0;0.4;0.2;0;0.2;0;0;0;0;0
