"";"Alireza Jahanbakhsh";"Calvin Stengs";"David Hancko";"Gernot Trauner";"Igor Paixao";"Leo Sauer";"Luka Ivanusec";"Lutsharel Geertruida";"Mats Wieffer";"Ondrej Lingr";"Quilindschy Hartman";"Quinten Timber";"Ramiz Zerrouki";"Timon Wellenreuther";"Yankuba Minteh"
"Alireza Jahanbakhsh";0;0.167;0.056;0.111;0;0;0;0.389;0.222;0;0;0;0.056;0;0
"Calvin Stengs";0.167;0;0;0.033;0.133;0;0.133;0.167;0.067;0.033;0;0.067;0.067;0;0.133
"David Hancko";0.011;0.011;0;0.348;0.011;0.011;0.056;0.045;0.079;0;0.281;0.022;0.022;0.09;0.011
"Gernot Trauner";0.043;0.022;0.217;0;0.011;0;0.011;0.272;0.174;0;0.065;0.065;0;0.109;0.011
"Igor Paixao";0;0.25;0;0;0;0;0.167;0.25;0;0;0.083;0.167;0;0;0.083
"Leo Sauer";0;0;0;0;0;0;0;0;0;0;0.5;0;0.5;0;0
"Luka Ivanusec";0;0.115;0.115;0.077;0;0;0;0;0.192;0;0.308;0.154;0.038;0;0
"Lutsharel Geertruida";0.104;0.104;0.06;0.284;0.06;0;0.045;0;0.194;0;0;0.045;0;0.09;0.015
"Mats Wieffer";0.048;0.079;0.254;0.159;0.016;0;0.079;0.095;0;0;0.079;0.032;0.032;0.048;0.079
"Ondrej Lingr";0;0.25;0;0;0;0;0;0.25;0.25;0;0;0;0.25;0;0
"Quilindschy Hartman";0;0.036;0.291;0.145;0.018;0.018;0.091;0.018;0.091;0.036;0;0.127;0.073;0.055;0
"Quinten Timber";0;0.227;0.227;0.091;0.091;0;0.045;0.136;0.136;0;0;0;0;0.045;0
"Ramiz Zerrouki";0.125;0;0.25;0.062;0;0.125;0.25;0;0.125;0;0.062;0;0;0;0
"Timon Wellenreuther";0;0;0.5;0.265;0;0;0;0.029;0.147;0;0.059;0;0;0;0
"Yankuba Minteh";0;0.571;0.143;0;0;0;0;0.286;0;0;0;0;0;0;0
