"";"Donyell Malen";"Emre Can";"Felix Nmecha";"Gregor Kobel";"Jamie Bynoe-Gittens";"Julian Brandt";"Julian Ryerson";"Karim Adeyemi";"Marco Reus";"Marius Wolf";"Mats Hummels";"Niclas Fullkrug";"Nico Schlotterbeck";"Niklas Sule";"Ramy Bensebaini"
"Donyell Malen";0;0;0;0;0;0.333;0.167;0;0;0.167;0;0;0.333;0;0
"Emre Can";0.105;0;0.158;0;0;0.211;0.105;0;0;0.105;0.105;0;0.158;0.053;0
"Felix Nmecha";0;0.083;0;0;0.083;0.042;0.042;0.167;0.042;0.125;0.167;0;0.042;0.042;0.167
"Gregor Kobel";0;0.071;0.071;0;0;0;0;0;0.143;0.143;0.071;0;0.214;0.286;0
"Jamie Bynoe-Gittens";0;0;0.333;0;0;0;0;0;0;0;0.333;0.333;0;0;0
"Julian Brandt";0.118;0.235;0;0;0;0;0.059;0.059;0;0.059;0.235;0;0.176;0.059;0
"Julian Ryerson";0.083;0.042;0.167;0;0.083;0.083;0;0.042;0.042;0;0.125;0.042;0.25;0.042;0
"Karim Adeyemi";0;0.083;0.333;0;0;0.083;0.083;0;0.083;0;0;0.083;0.083;0;0.167
"Marco Reus";0;0;0.143;0.071;0.071;0;0.143;0.071;0;0;0;0.214;0.143;0.143;0
"Marius Wolf";0.125;0.125;0.125;0;0;0.167;0;0.167;0.042;0;0.083;0.042;0.042;0.083;0
"Mats Hummels";0;0.129;0.032;0.032;0;0.065;0;0.032;0.129;0.097;0;0.032;0.194;0.194;0.065
"Niclas Fullkrug";0;0;0;0;0.333;0;0.333;0;0.333;0;0;0;0;0;0
"Nico Schlotterbeck";0.029;0.114;0.114;0.171;0;0.114;0.143;0.057;0.029;0;0.143;0.029;0;0.029;0.029
"Niklas Sule";0;0;0.083;0.125;0;0.125;0.167;0.083;0.083;0.167;0.042;0.083;0.042;0;0
"Ramy Bensebaini";0;0;0.125;0;0;0;0;0.125;0.125;0;0;0;0.625;0;0
