"";"Anthony Racioppi";"Aurele Amenda";"Cedric Itten";"Cheikh Niasse";"Darian Males";"Filip Ugrinic";"Lewin Blum";"Loris Benito";"Meschack Elia";"Mohamed Ali Camara";"Noah Persson";"Saidy Janko";"Sandro Lauper";"Silvere Ganvoula";"Ulisses Garcia"
"Anthony Racioppi";0;0.278;0.056;0;0;0;0;0.278;0;0.167;0;0.056;0.167;0;0
"Aurele Amenda";0.146;0;0;0.049;0.024;0;0.024;0.22;0.024;0.317;0;0.171;0.024;0;0
"Cedric Itten";0;0;0;0;0;0;0;0;0.111;0;0;0.444;0.333;0;0.111
"Cheikh Niasse";0;0.071;0.071;0;0.071;0.036;0.036;0.071;0.036;0.036;0;0.179;0.143;0;0.25
"Darian Males";0;0.286;0;0;0;0.143;0.286;0;0;0.143;0.143;0;0;0;0
"Filip Ugrinic";0;0.036;0;0.071;0;0;0.036;0.179;0.071;0.107;0.071;0.036;0.107;0.036;0.25
"Lewin Blum";0;0.125;0;0;0.25;0.125;0;0.125;0;0;0;0;0;0.375;0
"Loris Benito";0.095;0;0;0.032;0.016;0.159;0.016;0;0.079;0.27;0.079;0;0.032;0.032;0.19
"Meschack Elia";0;0;0;0.3;0;0.2;0;0.2;0;0;0;0;0.1;0.1;0.1
"Mohamed Ali Camara";0.179;0.25;0;0.054;0;0;0.018;0.321;0.018;0;0;0.054;0.071;0;0.036
"Noah Persson";0;0;0;0.167;0.333;0;0;0.167;0.167;0;0;0;0;0.167;0
"Saidy Janko";0;0.32;0;0.28;0;0.12;0;0;0.04;0.16;0;0;0.08;0;0
"Sandro Lauper";0;0.049;0.024;0.049;0;0.122;0;0.122;0.098;0.122;0;0.073;0;0.024;0.317
"Silvere Ganvoula";0;0;0;0;0;0;0.25;0.25;0.25;0;0;0;0;0;0.25
"Ulisses Garcia";0;0.023;0;0.186;0;0.163;0;0.279;0.07;0.047;0;0;0.233;0;0
