"";"Benjamin Henrichs";"Benjamin Sesko";"Castello Lukeba";"Christoph Baumgartner";"Christopher Lenz";"David Raum";"Emil Forsberg";"Janis Blaswich";"Kevin Kampl";"Lois Openda";"Mohamed Simakan";"Timo Werner";"Xaver Schlager";"Xavi Simons";"Yussuf Poulsen"
"Benjamin Henrichs";0;0.059;0;0;0;0.029;0.059;0;0.059;0.088;0.265;0;0.118;0.265;0.059
"Benjamin Sesko";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Castello Lukeba";0;0;0;0.027;0;0.162;0.027;0.297;0.135;0.027;0.135;0;0.054;0.108;0.027
"Christoph Baumgartner";0;0;0.143;0;0;0.286;0;0;0.143;0.143;0;0.143;0.143;0;0
"Christopher Lenz";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"David Raum";0.029;0.059;0.235;0;0;0;0.118;0.059;0.294;0.029;0.029;0;0.059;0.029;0.059
"Emil Forsberg";0;0;0;0;0;0.417;0;0;0.167;0;0;0;0;0.333;0.083
"Janis Blaswich";0.133;0;0.267;0;0.033;0;0;0;0.033;0;0.4;0;0.133;0;0
"Kevin Kampl";0.029;0;0.265;0.059;0;0.118;0.118;0.118;0;0;0.029;0;0.176;0.059;0.029
"Lois Openda";0.286;0.143;0;0;0;0.143;0;0;0.143;0;0;0;0;0.286;0
"Mohamed Simakan";0.375;0;0.188;0;0;0.062;0;0.125;0;0.031;0;0;0.156;0.062;0
"Timo Werner";0;0;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0
"Xaver Schlager";0.033;0;0.167;0.033;0;0.167;0.067;0.067;0.133;0.067;0.067;0.033;0;0.133;0.033
"Xavi Simons";0.304;0.043;0;0;0;0.043;0.087;0;0.174;0.174;0;0;0.174;0;0
"Yussuf Poulsen";0;0;0;0;0;0.125;0.125;0;0.125;0;0;0;0.375;0.25;0
