"";"Bernardo Silva";"Ederson";"Erling Haaland";"Jeremy Doku";"Julian Alvarez";"Kalvin Phillips";"Kyle Walker";"Manuel Akanji";"Matheus Nunes";"Nathan Ake";"Oscar Bobb";"Phil Foden";"Rico Lewis";"Rodri";"Ruben Dias";"Sergio Gomez"
"Bernardo Silva";0;0;0;0;0.077;0;0.308;0;0.231;0.038;0;0.077;0;0.192;0.077;0
"Ederson";0.034;0;0;0.034;0;0;0.103;0.138;0.034;0.172;0;0.069;0;0.172;0.207;0.034
"Erling Haaland";0;0;0;0;0.571;0;0;0;0.143;0;0.143;0;0;0.143;0;0
"Jeremy Doku";0;0.04;0;0;0.04;0;0.08;0;0.36;0.12;0;0.08;0;0.24;0.04;0
"Julian Alvarez";0.094;0;0.038;0.075;0;0;0.057;0.038;0.113;0.132;0;0.113;0.019;0.113;0.038;0.17
"Kalvin Phillips";0;0;0;0.125;0.125;0;0.25;0.125;0.125;0;0.125;0;0.125;0;0;0
"Kyle Walker";0.081;0.065;0;0.048;0.129;0;0;0.065;0.194;0.048;0;0.032;0.048;0.145;0.145;0
"Manuel Akanji";0;0;0;0.136;0.045;0.091;0.045;0;0.182;0.091;0;0.045;0.045;0.273;0.045;0
"Matheus Nunes";0.116;0.012;0;0.047;0.105;0.023;0.093;0.047;0;0.105;0.012;0.128;0.012;0.151;0.093;0.058
"Nathan Ake";0;0.044;0;0.067;0.067;0;0.022;0.022;0.156;0;0;0.056;0;0.2;0.2;0.167
"Oscar Bobb";0;0;0.333;0;0;0;0;0;0;0;0;0;0.667;0;0;0
"Phil Foden";0.02;0;0.059;0.039;0.176;0;0.039;0.02;0.157;0.059;0;0;0;0.176;0.098;0.157
"Rico Lewis";0;0;0;0;0.111;0.222;0.111;0.111;0.111;0;0.333;0;0;0;0;0
"Rodri";0.032;0.032;0;0.043;0.129;0;0.172;0;0.151;0.129;0;0.097;0;0;0.161;0.054
"Ruben Dias";0;0.05;0.013;0.025;0.075;0;0.088;0.013;0.125;0.262;0;0.162;0;0.15;0;0.038
"Sergio Gomez";0;0.048;0.024;0;0.119;0;0.024;0;0.071;0.333;0;0.119;0;0.238;0.024;0
