"";"Aleksandar Dragovic";"Cherif Ndiaye";"In-beom Hwang";"Jean-Philippe Krasso";"Kings Kangwa";"Marko Stamenic";"Milan Rodic";"Mirko Ivanic";"Nasser Djiga";"Omri Glazer";"Osman Bukari";"Peter Olayinka";"Srdjan Mijailovic";"Stefan Mitrovic";"Vladimir Lucic"
"Aleksandar Dragovic";0;0.059;0.176;0;0.059;0;0.059;0;0.059;0.235;0.059;0.059;0;0.176;0.059
"Cherif Ndiaye";0;0;0;0;0;0;0;0.333;0;0;0;0;0;0.667;0
"In-beom Hwang";0.091;0.091;0;0.091;0;0.091;0;0;0.091;0;0;0;0.273;0.182;0.091
"Jean-Philippe Krasso";0;0;0;0;0;0.25;0;0;0;0;0.25;0;0.5;0;0
"Kings Kangwa";0;0;0;0.143;0;0.143;0;0;0;0;0;0.143;0.286;0;0.286
"Marko Stamenic";0.071;0;0.071;0.143;0;0;0;0.071;0.071;0.214;0.214;0;0.143;0;0
"Milan Rodic";0.111;0;0;0;0.222;0;0;0.111;0;0.111;0.111;0;0;0.111;0.222
"Mirko Ivanic";0.167;0;0;0;0;0.167;0.167;0;0;0;0.167;0;0;0.333;0
"Nasser Djiga";0.263;0;0.158;0.053;0.053;0.211;0;0.053;0;0.053;0;0;0.158;0;0
"Omri Glazer";0.125;0;0;0;0;0.125;0;0;0.625;0;0;0;0;0.125;0
"Osman Bukari";0;0;0.625;0;0;0;0;0;0;0;0;0.125;0.125;0.125;0
"Peter Olayinka";0.167;0;0;0;0.167;0.167;0.167;0;0;0;0.167;0;0.167;0;0
"Srdjan Mijailovic";0;0;0.071;0;0;0.071;0;0;0.286;0.143;0.214;0.214;0;0;0
"Stefan Mitrovic";0.111;0.222;0.111;0;0;0.111;0.222;0.222;0;0;0;0;0;0;0
"Vladimir Lucic";0.167;0;0.167;0.167;0.167;0.333;0;0;0;0;0;0;0;0;0
