"";"Alan Varela";"Andre Franco";"David Carmo";"Diogo Costa";"Francisco Conceicao";"Galeno";"Goncalo Borges";"Ivan Jaime";"Joao Mario";"Jorge Sanchez";"Mehdi Taremi";"Nico Gonzalez";"Pepe";"Stephen Eustaquio";"Wendell";"Zaidu Sanusi"
"Alan Varela";0;0.081;0.27;0.027;0;0;0;0.054;0.081;0.054;0.054;0.027;0.189;0.054;0.081;0.027
"Andre Franco";0.107;0;0.143;0.036;0;0.036;0;0;0.071;0;0.107;0;0.321;0.036;0.071;0.071
"David Carmo";0.04;0.04;0;0.107;0;0.013;0.013;0.027;0.013;0;0.013;0;0.32;0.107;0.2;0.107
"Diogo Costa";0;0;0.371;0;0;0;0;0;0.029;0;0;0;0.4;0.029;0.086;0.086
"Francisco Conceicao";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Galeno";0.056;0.056;0.167;0;0;0;0;0.167;0;0;0;0;0;0.333;0.167;0.056
"Goncalo Borges";0;0;0.25;0;0;0;0;0;0;0.25;0;0;0;0.25;0.25;0
"Ivan Jaime";0.062;0.062;0.125;0;0;0.25;0;0;0.125;0;0;0;0.125;0.188;0.062;0
"Joao Mario";0.156;0.125;0;0;0;0;0;0.094;0;0;0.031;0;0.5;0.094;0;0
"Jorge Sanchez";0.214;0;0;0.214;0;0;0;0;0;0;0.143;0.143;0.286;0;0;0
"Mehdi Taremi";0.083;0.167;0;0;0;0.167;0;0;0.083;0.167;0;0;0.333;0;0;0
"Nico Gonzalez";0;0.5;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0
"Pepe";0.095;0.105;0.147;0.137;0.011;0;0.011;0.011;0.232;0.074;0.063;0;0;0.095;0.011;0.011
"Stephen Eustaquio";0.143;0.071;0.214;0.024;0;0.024;0.024;0.095;0.048;0;0.024;0;0.238;0;0.071;0.024
"Wendell";0;0.081;0.378;0.081;0;0.189;0.081;0.054;0;0;0;0;0.054;0.081;0;0
"Zaidu Sanusi";0.062;0.062;0.125;0;0;0.375;0;0.062;0;0;0;0;0.062;0.25;0;0
