"";"Artem Bondarenko";"Danylo Sikan";"Dmytro Riznyk";"Eguinaldo";"Georgiy Sudakov";"Giorgi Gocholeishvili";"Irakli Azarovi";"Kevin Kelsy ";"Novatus Miroshi";"Oleksandr Zubkov";"Oleksiy Kashchuk";"Stav Lemkin";"Taras Stepanenko";"Yaroslav Rakitskyi";"Yegor Nazaryna";"Yukhym Konoplya"
"Artem Bondarenko";0;0.133;0.067;0;0.067;0.133;0.067;0;0.333;0;0.133;0;0;0.067;0;0
"Danylo Sikan";0.071;0;0;0;0.214;0;0.071;0.071;0.357;0.071;0;0;0;0.071;0.071;0
"Dmytro Riznyk";0;0;0;0;0.053;0;0.211;0;0.105;0;0;0.316;0.053;0.263;0;0
"Eguinaldo";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Georgiy Sudakov";0.04;0.12;0;0;0;0.04;0;0;0.2;0.08;0;0.16;0.12;0.08;0.16;0
"Giorgi Gocholeishvili";0;0;0.2;0;0;0;0.1;0;0.2;0.1;0.1;0;0;0.3;0;0
"Irakli Azarovi";0.217;0.087;0.087;0.043;0.043;0.043;0;0;0.261;0;0.087;0;0;0.087;0.043;0
"Kevin Kelsy ";0;0;0;0;0.667;0;0;0;0;0;0;0;0;0;0.333;0
"Novatus Miroshi";0.048;0.095;0.095;0.024;0.167;0.071;0.095;0.071;0;0;0;0.024;0.024;0.238;0.048;0
"Oleksandr Zubkov";0;0;0;0;0.059;0;0;0;0.059;0;0;0;0.118;0.118;0.235;0.412
"Oleksiy Kashchuk";0.2;0;0;0.2;0.2;0;0.2;0;0;0;0;0;0;0.2;0;0
"Stav Lemkin";0;0;0.154;0;0.019;0;0;0;0;0.096;0;0;0.019;0.442;0.077;0.192
"Taras Stepanenko";0;0;0;0;0.25;0;0;0.083;0;0;0;0.25;0;0.25;0.083;0.083
"Yaroslav Rakitskyi";0.082;0.041;0.02;0;0.082;0;0.041;0.02;0.122;0;0.041;0.449;0;0;0.082;0.02
"Yegor Nazaryna";0.053;0.079;0;0.026;0.105;0;0.079;0;0.026;0.158;0;0.105;0.026;0.105;0;0.237
"Yukhym Konoplya";0;0;0.1;0;0.067;0;0;0.033;0.033;0.167;0;0.2;0.033;0.067;0.3;0
