"";"Alex Balde";"Andreas Christensen";"Fermin Lopez";"Ferran Torres";"Frenkie de Jong";"Gavi";"Ilkay Gundogan";"Joao Cancelo";"Joao Felix";"Jules Kounde";"Lamine Yamal";"Marc-Andre ter Stegen";"Oriol Romeu";"Raphinha";"Robert Lewandowski";"Sergi Roberto"
"Alex Balde";0;0.182;0;0.018;0.036;0.182;0.145;0.055;0.218;0.018;0;0.073;0;0.018;0.055;0
"Andreas Christensen";0.115;0;0;0.023;0.08;0.172;0.161;0.115;0.034;0.184;0;0.023;0.057;0.011;0.011;0.011
"Fermin Lopez";0;0.105;0;0.053;0;0;0.158;0.211;0;0.053;0.105;0;0.211;0;0.053;0.053
"Ferran Torres";0.167;0;0;0;0;0;0;0;0;0;0.333;0;0.167;0;0.167;0.167
"Frenkie de Jong";0.127;0.111;0;0;0;0.222;0.143;0.143;0.079;0.111;0;0;0;0.048;0.016;0
"Gavi";0.184;0.132;0;0;0.197;0;0.066;0.132;0.105;0.092;0;0;0;0;0.092;0
"Ilkay Gundogan";0.07;0.12;0.05;0.01;0.1;0.05;0;0.15;0.08;0.15;0.03;0.01;0.08;0.02;0.05;0.03
"Joao Cancelo";0.012;0.06;0.048;0;0.131;0.036;0.25;0;0.012;0.214;0.024;0;0.06;0.131;0.024;0
"Joao Felix";0.171;0.086;0;0;0.057;0.229;0.171;0.057;0;0.029;0;0;0;0;0.2;0
"Jules Kounde";0.011;0.117;0.021;0.011;0.074;0.085;0.191;0.17;0.011;0;0.011;0.064;0.085;0.096;0.021;0.032
"Lamine Yamal";0;0.077;0.231;0;0;0;0.077;0;0;0.231;0;0.077;0;0;0;0.308
"Marc-Andre ter Stegen";0.048;0.333;0;0;0.095;0;0;0;0;0.429;0.048;0;0;0;0;0.048
"Oriol Romeu";0.091;0.242;0.091;0.03;0;0;0.212;0.121;0;0.121;0;0;0;0.03;0;0.061
"Raphinha";0;0;0.091;0;0.182;0.045;0.091;0.364;0;0.227;0;0;0;0;0;0
"Robert Lewandowski";0.105;0.053;0;0;0;0.263;0.105;0;0.105;0.053;0.105;0;0;0.105;0;0.105
"Sergi Roberto";0;0;0.118;0.059;0;0;0.118;0;0;0.235;0.235;0.118;0.059;0;0.059;0
