"";"Alhassan Yusuf";"Anthony Valencia";"Arbnor Muja";"Arthur Vermeeren";"George Ilenikhena";"Gyrano Kerk";"Jean Butez";"Jelle Bataille";"Jurgen Ekkelenkamp";"Mandela Keita";"Michel-Ange Balikwisha";"Owen Wijndal";"Ritchie De Laet";"Soumaila Coulibaly";"Toby Alderweireld";"Vincent Janssen"
"Alhassan Yusuf";0;0;0;0.1;0.1;0.2;0;0;0;0.1;0;0.1;0;0;0.4;0
"Anthony Valencia";0;0;0;0.5;0;0;0;0;0;0;0;0;0.5;0;0;0
"Arbnor Muja";0;0;0;0.111;0;0;0;0.333;0;0.111;0;0;0;0;0.333;0.111
"Arthur Vermeeren";0.061;0.03;0.061;0;0;0;0;0.212;0.03;0.061;0.03;0.152;0.061;0.152;0.121;0.03
"George Ilenikhena";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Gyrano Kerk";0;0;0;0.333;0.333;0;0;0;0;0;0;0;0.333;0;0;0
"Jean Butez";0;0;0;0.083;0;0;0;0.042;0;0.25;0;0.042;0.125;0.417;0.042;0
"Jelle Bataille";0;0;0.154;0.192;0;0;0.115;0;0.115;0.077;0.077;0;0;0;0.269;0
"Jurgen Ekkelenkamp";0;0;0.188;0.125;0;0;0;0;0;0.188;0.125;0.062;0;0.188;0.062;0.062
"Mandela Keita";0;0;0;0.208;0.042;0;0.208;0.083;0.083;0;0;0.042;0;0.167;0.125;0.042
"Michel-Ange Balikwisha";0;0;0;0;0;0;0;0.25;0;0;0;0.5;0;0.25;0;0
"Owen Wijndal";0.111;0;0;0;0.056;0;0;0;0.222;0.111;0.056;0;0;0.278;0;0.167
"Ritchie De Laet";0.3;0;0;0;0.1;0.1;0;0.2;0;0;0;0;0;0;0.3;0
"Soumaila Coulibaly";0.065;0.032;0;0.032;0;0;0.29;0.032;0.097;0.065;0;0.194;0;0;0.161;0.032
"Toby Alderweireld";0.057;0;0.029;0.143;0;0;0.229;0.314;0.029;0.057;0;0;0.057;0.057;0;0.029
"Vincent Janssen";0;0;0;0.111;0;0;0.111;0.222;0;0;0.111;0.111;0;0;0.333;0
