"";"Abdulkerim Bardakci";"Angelino";"Baris Yilmaz";"Davinson Sanchez";"Dries Mertens";"Fernando Muslera";"Kaan Ayhan";"Kerem Akturkoglu";"Lucas Torreira";"Mateus Tete";"Mauro Icardi";"Sacha Boey";"Sergio Oliveira";"Tanguy Ndombele";"Victor Nelsson";"Wilfried Zaha"
"Abdulkerim Bardakci";0;0.321;0;0.179;0;0.286;0.036;0;0;0;0;0.036;0;0.071;0;0.071
"Angelino";0.241;0;0;0.069;0;0.103;0.103;0.138;0.069;0;0;0;0;0;0;0.276
"Baris Yilmaz";0;0;0;0;0;0;0;0.143;0;0;0.143;0.143;0.429;0.143;0;0
"Davinson Sanchez";0.133;0.033;0;0;0;0.167;0.067;0.033;0.067;0.133;0.067;0.167;0.067;0.033;0.033;0
"Dries Mertens";0;0;0.2;0.2;0;0;0;0.2;0;0;0.2;0;0.2;0;0;0
"Fernando Muslera";0.286;0.143;0;0.5;0;0;0;0;0;0;0;0.071;0;0;0;0
"Kaan Ayhan";0.385;0.077;0;0.154;0;0;0;0.077;0;0.231;0;0.077;0;0;0;0
"Kerem Akturkoglu";0.154;0.077;0;0;0.231;0;0.077;0;0;0.154;0;0.077;0;0;0;0.231
"Lucas Torreira";0.133;0.133;0;0.133;0;0;0;0.267;0;0;0.067;0.133;0;0;0;0.133
"Mateus Tete";0;0.062;0;0.312;0;0.062;0.062;0.062;0;0;0.125;0.25;0;0;0;0.062
"Mauro Icardi";0.071;0;0.071;0;0.071;0;0.214;0.143;0.071;0.071;0;0.143;0.071;0;0;0.071
"Sacha Boey";0;0.029;0.059;0.176;0.029;0.029;0.029;0.059;0.088;0.324;0.118;0;0.059;0;0;0
"Sergio Oliveira";0;0;0.429;0;0;0.143;0;0;0;0;0.143;0.143;0;0;0.143;0
"Tanguy Ndombele";0;0;0;0.167;0.167;0;0;0.333;0;0;0;0;0.167;0;0.167;0
"Victor Nelsson";0;0;0;0.667;0;0.333;0;0;0;0;0;0;0;0;0;0
"Wilfried Zaha";0;0.333;0.083;0;0;0;0;0.333;0.25;0;0;0;0;0;0;0
