"";"Andre Ramalho";"Armel Bella Kotchap";"Hirving Lozano";"Ismael Saibari";"Jerdy Schouten";"Joey Veerman";"Johan Bakayoko";"Jordan Teze";"Luuk de Jong";"Malik Tillman";"Noa Lang";"Olivier Boscagli";"Ricardo Pepi";"Sergino Dest";"Walter Benitez"
"Andre Ramalho";0;0;0;0;0.146;0.042;0.021;0.167;0.021;0.021;0;0.479;0;0.021;0.083
"Armel Bella Kotchap";0;0;0;0;0;0;0;0.5;0;0.5;0;0;0;0;0
"Hirving Lozano";0;0;0;0.333;0;0;0;0.667;0;0;0;0;0;0;0
"Ismael Saibari";0;0;0;0;0.125;0;0;0;0;0.125;0.375;0.125;0.125;0.125;0
"Jerdy Schouten";0.196;0;0;0.022;0;0.13;0.087;0.196;0.022;0.152;0.065;0.043;0;0.087;0
"Joey Veerman";0.103;0;0;0;0.179;0;0.051;0.051;0.077;0.026;0.256;0.128;0;0.128;0
"Johan Bakayoko";0.16;0;0;0;0;0.2;0;0.4;0;0.16;0.04;0.04;0;0;0
"Jordan Teze";0.122;0.02;0.082;0;0.163;0.163;0.224;0;0.061;0.102;0.02;0.041;0;0;0
"Luuk de Jong";0;0;0;0;0.091;0.273;0.273;0;0;0.182;0.182;0;0;0;0
"Malik Tillman";0.08;0;0.04;0;0.08;0.2;0.12;0.08;0.12;0;0.16;0.04;0;0.08;0
"Noa Lang";0;0;0;0.04;0.16;0.08;0.12;0.04;0.04;0.2;0;0.04;0.04;0.24;0
"Olivier Boscagli";0.2;0;0;0;0.111;0.156;0;0;0;0.067;0.2;0;0;0.2;0.067
"Ricardo Pepi";0;0;0;0.25;0.25;0;0;0;0;0.25;0.25;0;0;0;0
"Sergino Dest";0.024;0;0;0.048;0.048;0.167;0;0;0.071;0.095;0.333;0.167;0.024;0;0.024
"Walter Benitez";0.333;0;0;0;0.111;0;0;0;0;0;0;0.333;0;0.222;0
