"";"Abel Ruiz";"Adrian Marin";"Al Musrati";"Alvaro Djalo";"Andre Castro";"Bruma";"Cristian Borja ";"Joao Moutinho";"Joe Mendes";"Matheus";"Ricardo Horta";"Rodrigo Zalazar";"Serdar Saatci";"Sikou Niakate";"Simon Banza";"Vitor Carvalho"
"Abel Ruiz";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5
"Adrian Marin";0;0;0;0;0.333;0.333;0;0;0;0.333;0;0;0;0;0;0
"Al Musrati";0;0;0;0.079;0.016;0.095;0.032;0.032;0.175;0;0.063;0.111;0.111;0.19;0.063;0.032
"Alvaro Djalo";0;0;0.067;0;0;0.133;0;0;0.133;0;0.333;0.067;0.133;0;0.133;0
"Andre Castro";0;0;0.286;0;0;0.143;0;0;0;0.143;0;0;0.286;0.143;0;0
"Bruma";0;0;0.154;0.051;0.051;0;0.231;0;0.051;0.026;0.154;0.154;0;0;0.103;0.026
"Cristian Borja ";0;0;0.12;0.04;0;0.26;0;0;0;0;0.12;0.18;0.02;0.12;0.14;0
"Joao Moutinho";0;0;0.333;0.167;0.167;0.167;0;0;0;0;0.167;0;0;0;0;0
"Joe Mendes";0;0;0.333;0.125;0;0.021;0;0;0;0.042;0.104;0;0.312;0.021;0.042;0
"Matheus";0;0.038;0.192;0;0;0;0.077;0;0.154;0;0;0.038;0.192;0.308;0;0
"Ricardo Horta";0;0;0.061;0.061;0;0.212;0.061;0;0.212;0.03;0;0.152;0.091;0.03;0.091;0
"Rodrigo Zalazar";0;0;0.135;0.081;0;0.162;0.27;0;0.054;0;0;0;0.135;0.108;0.054;0
"Serdar Saatci";0;0;0.092;0.031;0.031;0.015;0;0.015;0.277;0.123;0.015;0.015;0;0.338;0.015;0.031
"Sikou Niakate";0;0.032;0.127;0;0.016;0.032;0.238;0;0.032;0.127;0.032;0.095;0.254;0;0.016;0
"Simon Banza";0;0;0.2;0.05;0;0.2;0.2;0;0;0;0.15;0.15;0;0.05;0;0
"Vitor Carvalho";0.143;0;0.286;0;0;0.143;0;0;0;0;0;0;0.143;0;0.286;0
