"";"Aissa Laidouni";"Alex Kral";"Brenden Aaronson";"Danilho Doekhi";"Diogo Leite";"Frederik Ronnow";"Janik Haberer";"Josip Juranovic";"Kevin Behrens";"Kevin Volland";"Leonardo Bonucci";"Lucas Tousart";"Robin Gosens";"Sheraldo Becker"
"Aissa Laidouni";0;0.25;0;0;0;0;0;0.25;0;0.25;0;0;0;0.25
"Alex Kral";0.105;0;0.053;0.263;0.053;0;0;0.158;0;0;0.053;0.105;0.158;0.053
"Brenden Aaronson";0;0;0;0.667;0;0;0;0;0;0;0;0;0;0.333
"Danilho Doekhi";0.045;0.045;0;0;0.182;0.182;0;0.136;0.091;0.045;0.136;0.091;0.045;0
"Diogo Leite";0;0.061;0;0.182;0;0.091;0.121;0;0.091;0;0.121;0.03;0.242;0.061
"Frederik Ronnow";0;0;0;0.067;0.467;0;0.067;0.067;0;0;0.333;0;0;0
"Janik Haberer";0;0;0;0;0.333;0.083;0;0;0.167;0;0;0;0.25;0.167
"Josip Juranovic";0.125;0.167;0;0.042;0.042;0.042;0;0;0.042;0.042;0.083;0.083;0;0.333
"Kevin Behrens";0;0.143;0;0;0;0;0;0;0;0;0;0.143;0.143;0.571
"Kevin Volland";0;0.5;0;0;0;0;0.5;0;0;0;0;0;0;0
"Leonardo Bonucci";0;0;0;0.15;0.25;0.15;0.1;0.1;0;0;0;0.05;0.2;0
"Lucas Tousart";0;0;0;0.182;0.091;0;0;0.364;0.091;0;0;0;0;0.273
"Robin Gosens";0;0.192;0;0.038;0.308;0.038;0.115;0;0.077;0.038;0.077;0;0;0.115
"Sheraldo Becker";0.071;0.071;0.071;0;0.071;0;0;0.286;0.214;0;0;0.214;0;0
