"";"Aihen Munoz";"Alex Remiro";"Ander Barrene";"Aritz Elustondo";"Benat Turrientes";"Brais Mendez";"Carlos Fernandez";"Hamari Traore";"Igor Zubeldia";"Jon Pacheco";"Martin Zubimendi";"Mikel Merino";"Mikel Oyarzabal";"Mohamed Cho";"Robin Le Normand";"Takefusa Kubo"
"Aihen Munoz";0;0;0.267;0;0;0.044;0.022;0;0.022;0.067;0.044;0.222;0;0.156;0.156;0
"Alex Remiro";0.375;0;0;0;0;0;0;0.125;0.375;0;0;0;0;0;0.125;0
"Ander Barrene";0.13;0;0;0;0;0.13;0;0.13;0.087;0;0.217;0.217;0;0;0;0.087
"Aritz Elustondo";0;0.167;0;0;0.167;0;0;0;0;0;0.167;0;0.5;0;0;0
"Benat Turrientes";0.167;0;0;0;0;0;0.167;0.167;0;0;0;0;0.5;0;0;0
"Brais Mendez";0.067;0;0.033;0;0;0;0.033;0.233;0.033;0;0.067;0.1;0.133;0.033;0;0.267
"Carlos Fernandez";0;0;0;0;0.143;0;0;0.143;0;0;0;0.143;0.571;0;0;0
"Hamari Traore";0;0.022;0;0;0.022;0.311;0;0;0.311;0;0.156;0.022;0.044;0;0;0.111
"Igor Zubeldia";0.031;0.188;0;0;0;0;0;0.438;0;0.062;0;0.031;0;0;0.219;0.031
"Jon Pacheco";0.333;0;0;0;0;0;0;0;0.333;0;0.333;0;0;0;0;0
"Martin Zubimendi";0.158;0;0.053;0;0.053;0.158;0;0.105;0.079;0;0;0.211;0.105;0;0.026;0.053
"Mikel Merino";0.318;0;0.068;0;0;0.091;0.023;0;0.045;0.023;0.205;0;0.114;0.023;0.091;0
"Mikel Oyarzabal";0.036;0;0.071;0.071;0.071;0.071;0.143;0.071;0.107;0;0.107;0.071;0;0.071;0;0.107
"Mohamed Cho";0.125;0;0;0;0;0;0.25;0;0;0;0.125;0.5;0;0;0;0
"Robin Le Normand";0.409;0.182;0;0;0;0.045;0;0.136;0.182;0;0;0.045;0;0;0;0
"Takefusa Kubo";0.133;0;0.267;0;0;0.267;0;0.067;0;0;0.067;0.2;0;0;0;0
