"";"Alireza Jahanbakhsh";"Ayase Ueda";"Bart Nieuwkoop";"Calvin Stengs";"David Hancko";"Gernot Trauner";"Igor Paixao";"Lutsharel Geertruida";"Mats Wieffer";"Ondrej Lingr";"Quilindschy Hartman";"Quinten Timber";"Ramiz Zerrouki";"Timon Wellenreuther";"Yankuba Minteh"
"Alireza Jahanbakhsh";0;0;0.333;0;0.333;0;0;0.167;0;0;0.167;0;0;0;0
"Ayase Ueda";0;0;0;0;0;0;0.167;0.167;0.333;0;0;0.167;0.167;0;0
"Bart Nieuwkoop";0.125;0;0;0.125;0;0;0;0.375;0;0.125;0;0;0;0.125;0.125
"Calvin Stengs";0.069;0.103;0.034;0;0;0;0.138;0.345;0.034;0;0.069;0.034;0.103;0.034;0.034
"David Hancko";0;0.017;0.017;0.05;0;0.267;0.067;0.217;0.05;0;0.183;0.033;0.05;0.05;0
"Gernot Trauner";0;0;0;0.04;0.28;0;0.04;0.28;0.02;0;0.14;0.02;0.12;0.06;0
"Igor Paixao";0;0;0;0.176;0.059;0;0;0;0;0;0.412;0.118;0.176;0;0.059
"Lutsharel Geertruida";0.016;0.016;0.049;0.197;0.131;0.213;0.033;0;0.033;0.016;0.033;0.082;0.131;0.033;0.016
"Mats Wieffer";0;0.067;0;0.2;0;0.133;0;0.4;0;0;0.067;0;0.067;0.067;0
"Ondrej Lingr";0;0;0;0;0;0;0.167;0.167;0;0;0.5;0;0.167;0;0
"Quilindschy Hartman";0;0;0;0.093;0.442;0.093;0.14;0.023;0;0.047;0;0.093;0.047;0;0.023
"Quinten Timber";0.048;0.095;0.095;0.143;0.095;0.048;0.095;0.143;0.048;0;0.143;0;0.048;0;0
"Ramiz Zerrouki";0;0.03;0;0.121;0.121;0.061;0.091;0.03;0.061;0.03;0.333;0.061;0;0.061;0
"Timon Wellenreuther";0;0;0;0;0.45;0.3;0;0.1;0;0;0.05;0.05;0.05;0;0
"Yankuba Minteh";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
