"";"Adam Marusic";"Alessio Romagnoli";"Ciro Immobile";"Daichi Kamada";"Elseid Hysaj";"Felipe Anderson";"Gustav Isaksen";"Ivan Provedel";"Luis Alberto";"Manuel Lazzari";"Matias Vecino";"Matteo Guendouzi";"Mattia Zaccagni";"Patric Gil";"Pedro Rodriguez";"Taty Castellanos"
"Adam Marusic";0;0;0;0;0;0;0.167;0.167;0;0;0.167;0.167;0;0;0;0.333
"Alessio Romagnoli";0;0;0;0.042;0.25;0;0;0.125;0.125;0.042;0.146;0;0.062;0.188;0.021;0
"Ciro Immobile";0;0.083;0;0.083;0.083;0.083;0;0;0.333;0.167;0;0;0.083;0.083;0;0
"Daichi Kamada";0.031;0.156;0.094;0;0.062;0.125;0;0;0.094;0.156;0.031;0;0.031;0.188;0.031;0
"Elseid Hysaj";0;0.233;0.033;0;0;0;0;0.1;0.2;0;0.067;0;0.333;0;0.033;0
"Felipe Anderson";0;0;0.105;0.158;0;0;0;0.053;0;0.263;0.158;0;0.053;0.211;0;0
"Gustav Isaksen";0.333;0;0;0;0;0;0;0;0;0.333;0;0.333;0;0;0;0
"Ivan Provedel";0.048;0.19;0;0;0.048;0.048;0;0;0.095;0.048;0.19;0;0;0.333;0;0
"Luis Alberto";0;0.073;0.244;0.024;0.098;0.098;0;0;0;0.049;0.098;0;0.122;0.195;0;0
"Manuel Lazzari";0;0.023;0;0.182;0.023;0.182;0.023;0;0.068;0;0.159;0.045;0;0.295;0;0
"Matias Vecino";0;0.154;0.026;0.128;0.077;0.077;0;0.077;0.128;0.026;0;0;0;0.282;0;0.026
"Matteo Guendouzi";0;0;0;0;0;0;0.25;0;0;0.5;0;0;0;0.25;0;0
"Mattia Zaccagni";0;0.05;0.1;0.05;0.2;0;0;0.1;0.3;0;0.15;0;0;0.05;0;0
"Patric Gil";0.036;0.255;0;0.2;0.018;0.073;0;0.073;0.036;0.218;0.091;0;0;0;0;0
"Pedro Rodriguez";0;0;0;0.667;0.333;0;0;0;0;0;0;0;0;0;0;0
"Taty Castellanos";0;0;0;0;0.5;0;0.5;0;0;0;0;0;0;0;0;0
