"";"Donyell Malen";"Emre Can";"Felix Nmecha";"Gregor Kobel";"Jamie Bynoe-Gittens";"Julian Brandt";"Julian Ryerson";"Karim Adeyemi";"Marco Reus";"Mats Hummels";"Niclas Fullkrug";"Nico Schlotterbeck";"Ramy Bensebaini";"Salih Ozcan";"Youssoufa Moukoko"
"Donyell Malen";0;0.125;0;0.031;0;0;0.031;0;0.062;0;0.125;0.094;0.375;0.156;0
"Emre Can";0.05;0;0;0.05;0;0.175;0.1;0.025;0.025;0.1;0;0.125;0.175;0.175;0
"Felix Nmecha";0;0.75;0;0;0.25;0;0;0;0;0;0;0;0;0;0
"Gregor Kobel";0;0.059;0;0;0;0;0.147;0;0;0.412;0;0.235;0;0.147;0
"Jamie Bynoe-Gittens";0;0;0.25;0;0;0;0;0.25;0;0;0;0;0.25;0.25;0
"Julian Brandt";0.077;0.192;0;0.038;0;0;0.346;0;0.115;0.038;0;0.038;0;0.154;0
"Julian Ryerson";0;0.196;0.039;0.098;0;0.196;0;0.157;0.039;0.137;0.059;0.039;0;0.039;0
"Karim Adeyemi";0;0.167;0;0;0.083;0;0.417;0;0.083;0.083;0;0.083;0.083;0;0
"Marco Reus";0.182;0;0;0;0;0.091;0.091;0.091;0;0.091;0.182;0.091;0.091;0.091;0
"Mats Hummels";0.082;0.122;0.02;0.122;0;0.102;0.265;0;0.02;0;0;0.082;0.102;0.061;0.02
"Niclas Fullkrug";0.214;0.143;0;0;0;0.214;0.071;0;0;0.071;0;0;0.071;0.214;0
"Nico Schlotterbeck";0.087;0.065;0;0.196;0.043;0.022;0.022;0;0.022;0.13;0.043;0;0.304;0.065;0
"Ramy Bensebaini";0.254;0.015;0.015;0.104;0.104;0.075;0;0;0.015;0;0.03;0.164;0;0.209;0.015
"Salih Ozcan";0.109;0.073;0.036;0.036;0.036;0.036;0.036;0;0;0.127;0.036;0.218;0.255;0;0
"Youssoufa Moukoko";0;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0;0
