"";"Achraf Hakimi";"Bradley Barcola";"Gianluigi Donnarumma";"Goncalo Ramos";"Kylian Mbappe";"Lucas Hernandez";"Manuel Ugarte";"Marquinhos";"Milan Skriniar";"Ousmane Dembele";"Randal Kolo Muani";"Vitinha Ferreira";"Warren Zaire-Emery"
"Achraf Hakimi";0;0;0.023;0.115;0.057;0;0.138;0.195;0.011;0.299;0;0.069;0.092
"Bradley Barcola";0;0;0;0;0.533;0.2;0;0.067;0;0.067;0;0.067;0.067
"Gianluigi Donnarumma";0.097;0;0;0;0;0.097;0;0.452;0.355;0;0;0;0
"Goncalo Ramos";0.261;0.087;0;0;0.043;0.087;0.13;0;0;0.217;0.043;0.043;0.087
"Kylian Mbappe";0.088;0.088;0;0.088;0;0.206;0.029;0;0;0.088;0.176;0.059;0.176
"Lucas Hernandez";0;0.1;0.033;0.017;0.2;0;0.05;0.017;0.267;0;0.133;0.017;0.167
"Manuel Ugarte";0.119;0;0;0.048;0.071;0.167;0;0.119;0.262;0.071;0.024;0;0.119
"Marquinhos";0.429;0.013;0.065;0.013;0;0.026;0.065;0;0.247;0.052;0;0.039;0.052
"Milan Skriniar";0.026;0;0.105;0.026;0.053;0.25;0.092;0.316;0;0;0;0.066;0.066
"Ousmane Dembele";0.366;0;0;0.049;0.024;0.024;0.146;0.049;0;0;0;0.122;0.22
"Randal Kolo Muani";0;0;0;0.182;0.364;0.091;0.091;0;0;0.091;0;0;0.182
"Vitinha Ferreira";0.32;0.04;0;0.08;0.04;0.04;0;0.16;0.04;0.04;0;0;0.24
"Warren Zaire-Emery";0.151;0.038;0.019;0.094;0.094;0.226;0.094;0.057;0.113;0.038;0;0.075;0
