"";"Bernardo Silva";"Ederson";"Erling Haaland";"Jack Grealish";"Jeremy Doku";"Josko Gvardiol";"Julian Alvarez";"Kyle Walker";"Manuel Akanji";"Nathan Ake";"Phil Foden";"Rico Lewis";"Rodri";"Ruben Dias"
"Bernardo Silva";0;0.021;0.021;0.042;0;0;0;0.333;0.167;0.021;0.062;0.188;0.146;0
"Ederson";0;0;0;0;0;0.32;0;0.08;0.08;0.04;0;0.08;0.08;0.32
"Erling Haaland";0.273;0;0;0.091;0;0.182;0.091;0;0.182;0;0.091;0.091;0;0
"Jack Grealish";0.087;0;0.022;0;0;0.457;0;0;0.022;0;0.261;0;0.109;0.043
"Jeremy Doku";0;0;0;0;0;0.455;0.182;0;0;0.091;0.091;0;0.182;0
"Josko Gvardiol";0.018;0.055;0.018;0.064;0.055;0;0.009;0.018;0.064;0.064;0.173;0.027;0.227;0.209
"Julian Alvarez";0;0;0;0;0.667;0;0;0;0;0;0;0;0.333;0
"Kyle Walker";0.219;0.041;0.055;0;0;0.027;0;0;0.123;0.014;0.014;0.11;0.096;0.301
"Manuel Akanji";0.06;0.06;0.015;0;0;0.045;0;0.284;0;0;0.045;0.09;0.194;0.209
"Nathan Ake";0;0.056;0;0;0.056;0.167;0.056;0.056;0;0;0.056;0.056;0.222;0.278
"Phil Foden";0.036;0.018;0.018;0.232;0.018;0.196;0;0.036;0.018;0;0;0;0.304;0.125
"Rico Lewis";0.231;0.026;0.077;0;0.026;0.051;0;0.077;0.128;0.026;0.077;0;0.128;0.154
"Rodri";0.072;0.041;0;0.082;0.021;0.175;0;0.165;0.124;0.021;0.103;0.093;0;0.103
"Ruben Dias";0.056;0.019;0;0.075;0;0.243;0;0.075;0.168;0.037;0.093;0.065;0.168;0
