"";"Alejandro Garnacho";"Andre Onana";"Antony";"Bruno Fernandes";"Christian Eriksen";"Diogo Dalot";"Harry Maguire";"Marcus Rashford";"Raphael Varane";"Rasmus Hojlund";"Scott McTominay";"Sergio Reguilon";"Sofyan Amrabat";"Victor Lindelof"
"Alejandro Garnacho";0;0;0;0.125;0.375;0;0;0.125;0.125;0;0;0;0;0.25
"Andre Onana";0;0;0;0;0;0.091;0.364;0;0.182;0;0;0.091;0.091;0.182
"Antony";0;0;0;0.182;0.045;0.227;0;0.091;0.182;0.045;0.091;0.045;0.091;0
"Bruno Fernandes";0;0;0.1;0;0.067;0;0.167;0.133;0.133;0.1;0.1;0.167;0.033;0
"Christian Eriksen";0.083;0;0;0.083;0;0.125;0.208;0.083;0.167;0.083;0.083;0;0;0.083
"Diogo Dalot";0;0.025;0.125;0.075;0.1;0;0;0.05;0.475;0;0.125;0;0.025;0
"Harry Maguire";0.029;0.1;0;0.043;0.014;0.043;0;0.029;0.314;0.014;0.057;0.243;0.1;0.014
"Marcus Rashford";0;0.037;0.037;0.185;0.037;0.148;0.148;0;0.037;0;0.037;0.333;0;0
"Raphael Varane";0;0.082;0.041;0.082;0.096;0.151;0.301;0.027;0;0.014;0.055;0.055;0.096;0
"Rasmus Hojlund";0;0;0.091;0;0.182;0.182;0;0.182;0.091;0;0.182;0;0.091;0
"Scott McTominay";0.033;0;0.133;0.1;0.1;0.067;0.067;0.133;0.167;0.067;0;0.067;0.033;0.033
"Sergio Reguilon";0;0.049;0;0.098;0.049;0;0.341;0.268;0.024;0.122;0;0;0.049;0
"Sofyan Amrabat";0;0;0.167;0;0;0.208;0.208;0;0.375;0.042;0;0;0;0
"Victor Lindelof";0.267;0.067;0;0;0.2;0;0.267;0;0.067;0.067;0.067;0;0;0
