"";"Adrien Thomasson";"Angelo Fulgini";"Brice Samba";"David Costa";"Deiver Machado";"Elye Wahi";"Facundo Medina";"Florian Sotoca";"Jonathan Gradit";"Kevin Danso";"Massadio Haidara";"Morgan Guilavogui";"Nampalys Mendy";"Przemyslaw Frankowski";"Salis Samed";"Wesley Said"
"Adrien Thomasson";0;0;0;0.2;0;0;0;0;0;0;0.2;0.2;0;0;0.4;0
"Angelo Fulgini";0;0;0;0;0.062;0.125;0.25;0.062;0;0;0;0;0.125;0;0.375;0
"Brice Samba";0;0;0;0;0.083;0;0.25;0;0.333;0.167;0;0;0;0.167;0;0
"David Costa";0;0;0;0;0.111;0;0.222;0;0.111;0.111;0;0;0;0.333;0.111;0
"Deiver Machado";0.056;0.111;0;0;0;0.056;0.389;0.111;0.056;0.056;0;0;0;0.111;0.056;0
"Elye Wahi";0;0;0;0;0.125;0;0.25;0;0;0;0;0;0.375;0.25;0;0
"Facundo Medina";0.05;0.15;0.1;0.1;0.225;0.025;0;0.05;0.05;0.05;0;0;0.05;0;0.15;0
"Florian Sotoca";0;0;0;0;0.077;0.077;0.077;0;0;0;0;0;0.077;0.538;0.154;0
"Jonathan Gradit";0;0;0.2;0.033;0.033;0;0.033;0.033;0;0;0;0.033;0.033;0.4;0.167;0.033
"Kevin Danso";0;0;0.2;0.05;0.15;0.05;0.1;0.1;0.1;0;0;0;0;0.2;0.05;0
"Massadio Haidara";0;0;0.2;0;0;0;0.4;0;0;0;0;0;0;0;0.2;0.2
"Morgan Guilavogui";0.25;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0.25;0.25
"Nampalys Mendy";0;0.048;0;0;0.048;0.143;0.095;0.143;0.19;0.095;0;0;0;0.19;0.048;0
"Przemyslaw Frankowski";0.019;0.093;0.037;0;0;0.093;0.019;0.093;0.13;0.074;0;0.056;0.13;0;0.204;0.056
"Salis Samed";0;0.079;0.026;0.079;0;0;0.211;0;0.105;0.079;0.026;0.026;0.158;0.211;0;0
"Wesley Said";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
