"";"Boubakary Soumare";"Djibril Sow";"Dodi Lukebakio";"Erik Lamela";"Ivan Rakitic";"Jesus Navas";"Juanlu Sanchez ";"Lucas Ocampos";"Marcos Acuna";"Mariano Diaz";"Nemanja Gudelj";"Orjan Nyland";"Sergio Ramos";"Youssef En-Nesyri"
"Boubakary Soumare";0;0.036;0.018;0.054;0.161;0.089;0.018;0.018;0.036;0.036;0.232;0.071;0.214;0.018
"Djibril Sow";0.188;0;0.062;0;0;0.125;0;0;0.188;0;0.25;0.062;0.125;0
"Dodi Lukebakio";0.071;0.143;0;0;0.357;0.286;0;0;0;0;0.071;0;0.071;0
"Erik Lamela";0.105;0;0;0;0.316;0.105;0.105;0.105;0;0;0.158;0;0.105;0
"Ivan Rakitic";0.041;0.041;0.02;0.02;0;0.122;0.122;0.184;0.163;0;0.122;0.02;0.122;0.02
"Jesus Navas";0.115;0;0.192;0.077;0.192;0;0;0.038;0.038;0;0.308;0;0.038;0
"Juanlu Sanchez ";0.091;0;0;0.182;0.182;0;0;0.091;0;0;0.455;0;0;0
"Lucas Ocampos";0.048;0;0.048;0.048;0.19;0.048;0.143;0;0.143;0.048;0;0;0.238;0.048
"Marcos Acuna";0.156;0.031;0;0.094;0.125;0;0;0.125;0;0;0.062;0;0.375;0.031
"Mariano Diaz";0;0;0;0.25;0;0;0;0.25;0.25;0;0.25;0;0;0
"Nemanja Gudelj";0.197;0.016;0.049;0.082;0.131;0.115;0.033;0;0.016;0;0;0.148;0.197;0.016
"Orjan Nyland";0.139;0.028;0;0;0.028;0.083;0.028;0;0.028;0;0.111;0;0.556;0
"Sergio Ramos";0.203;0.095;0;0.014;0.095;0;0;0.054;0.095;0.027;0.189;0.216;0;0.014
"Youssef En-Nesyri";0;0.333;0;0;0.333;0;0;0;0.333;0;0;0;0;0
