"";"Alexander Schlager";"Amankwah Forson";"Amar Dedic";"Andreas Ulmer";"Dorgeles Nene";"Karim Konate";"Lucas Gourna-Douath";"Luka Sucic";"Mads Bidstrup";"Maurits Kjaergaard";"Nicolas Capaldo";"Oscar Gloukh";"Oumar Solet";"Petar Ratkov";"Roko Simic";"Strahinja Pavlovic"
"Alexander Schlager";0;0;0.037;0.111;0;0;0.037;0;0;0;0;0;0.37;0;0;0.444
"Amankwah Forson";0;0;0.333;0.333;0;0;0;0;0;0;0;0;0.333;0;0;0
"Amar Dedic";0.036;0.071;0;0;0.036;0;0.214;0.107;0.036;0.036;0;0.071;0.321;0;0.071;0
"Andreas Ulmer";0.025;0.025;0;0;0.025;0.025;0.15;0.15;0.025;0.1;0.1;0.125;0;0.025;0.05;0.175
"Dorgeles Nene";0;0;0.5;0.25;0;0.25;0;0;0;0;0;0;0;0;0;0
"Karim Konate";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Lucas Gourna-Douath";0.029;0;0.176;0.118;0.029;0;0;0.029;0.029;0.088;0;0.059;0.235;0;0;0.206
"Luka Sucic";0;0;0.154;0.231;0;0;0.038;0;0.038;0.038;0;0.115;0.154;0.038;0.154;0.038
"Mads Bidstrup";0;0;0;0;0;0;0.1;0.4;0;0;0;0.3;0;0;0.1;0.1
"Maurits Kjaergaard";0.056;0;0;0.056;0;0;0.222;0.222;0;0;0;0.167;0.056;0;0.056;0.167
"Nicolas Capaldo";0;0.125;0.25;0.25;0;0;0;0.125;0;0;0;0;0.125;0;0;0.125
"Oscar Gloukh";0.056;0;0.111;0.056;0;0;0.111;0.389;0;0.111;0;0;0.056;0;0.111;0
"Oumar Solet";0.083;0.021;0.188;0.042;0.021;0.021;0.083;0.167;0.021;0.062;0.042;0.021;0;0;0.021;0.208
"Petar Ratkov";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Roko Simic";0;0;0.077;0;0;0;0.231;0.231;0;0.154;0;0.231;0.077;0;0;0
"Strahinja Pavlovic";0.267;0;0.022;0.178;0;0;0.133;0.022;0.044;0.067;0;0.022;0.244;0;0;0
