"";"Aihen Munoz";"Alex Remiro";"Ander Barrene";"Aritz Elustondo";"Arsen Zakharyan";"Brais Mendez";"Carlos Fernandez";"Hamari Traore";"Igor Zubeldia";"Martin Zubimendi";"Mikel Merino";"Mikel Oyarzabal";"Robin Le Normand";"Takefusa Kubo"
"Aihen Munoz";0;0;0.347;0;0.041;0;0.02;0;0.02;0.082;0.245;0;0.224;0.02
"Alex Remiro";0.214;0;0;0;0;0;0;0;0.143;0.286;0.071;0;0.286;0
"Ander Barrene";0.343;0;0;0;0;0.086;0;0;0;0.114;0.257;0.143;0;0.057
"Aritz Elustondo";0;0;0;0;0;0.3;0;0;0.5;0.1;0;0.1;0;0
"Arsen Zakharyan";0.333;0;0;0;0;0.333;0.167;0;0;0.167;0;0;0;0
"Brais Mendez";0.04;0;0.06;0.04;0.04;0;0;0.24;0.1;0.18;0.14;0;0.02;0.14
"Carlos Fernandez";0;0;0;0;0.25;0.25;0;0;0;0;0.25;0.25;0;0
"Hamari Traore";0;0;0;0;0;0.216;0;0;0.294;0.118;0.02;0.059;0.039;0.255
"Igor Zubeldia";0.029;0.203;0;0.043;0;0.087;0;0.159;0;0.087;0;0.014;0.319;0.058
"Martin Zubimendi";0.095;0.016;0.016;0.048;0.016;0.095;0;0.127;0.254;0;0.111;0.048;0.175;0
"Mikel Merino";0.075;0.019;0.151;0;0.019;0.132;0.019;0.075;0.057;0.151;0;0.151;0.019;0.132
"Mikel Oyarzabal";0.1;0;0.1;0.05;0;0.1;0;0;0.05;0.5;0;0;0;0.1
"Robin Le Normand";0.352;0.148;0.019;0;0;0;0;0.019;0.333;0.074;0.056;0;0;0
"Takefusa Kubo";0;0;0.176;0.059;0;0.118;0;0.235;0;0.294;0.059;0.059;0;0
