"";"Alexander Bah";"Anatoliy Trubin";"Antonio Silva";"Arthur Cabral";"Chiquinho";"David Jurasek";"David Neres";"Fredrik Aursnes";"Joao Mario";"Joao Neves";"Juan Bernat";"Nicolas Otamendi";"Orkun Kokcu";"Petar Musa";"Rafa Silva";"Tiago Gouveia"
"Alexander Bah";0;0.033;0.3;0.033;0;0.033;0.2;0.033;0.033;0.167;0;0.033;0.033;0;0.1;0
"Anatoliy Trubin";0.1;0;0.1;0;0;0.1;0;0.1;0;0.1;0;0.4;0;0;0.1;0
"Antonio Silva";0.233;0.1;0;0;0;0;0.1;0.133;0;0.133;0;0.1;0.167;0;0;0.033
"Arthur Cabral";0.091;0;0;0;0.091;0;0.364;0.091;0;0.182;0;0.091;0.091;0;0;0
"Chiquinho";0;0;0;0.5;0;0;0;0;0;0;0.5;0;0;0;0;0
"David Jurasek";0;0.083;0;0.083;0;0;0;0.25;0.25;0;0;0.25;0;0;0.083;0
"David Neres";0.429;0;0.071;0.071;0;0.071;0;0.071;0;0.071;0;0;0.071;0.071;0.071;0
"Fredrik Aursnes";0.097;0.032;0.097;0;0;0.129;0.032;0;0.161;0.161;0;0.129;0.065;0.032;0.065;0
"Joao Mario";0.071;0;0;0;0;0.286;0.143;0.429;0;0;0;0;0;0;0.071;0
"Joao Neves";0.125;0;0.167;0.042;0;0;0.167;0.125;0;0;0;0.042;0.125;0;0.167;0.042
"Juan Bernat";0;0.2;0;0.2;0.2;0;0;0;0;0;0;0.2;0.2;0;0;0
"Nicolas Otamendi";0.19;0.048;0.19;0.048;0;0.19;0;0.19;0.048;0;0.048;0;0.048;0;0;0
"Orkun Kokcu";0.167;0.056;0.056;0.111;0;0.056;0.056;0.111;0;0.056;0.056;0.111;0;0;0.111;0.056
"Petar Musa";0.125;0;0;0;0;0.125;0;0.125;0.25;0.125;0;0.125;0;0;0.125;0
"Rafa Silva";0.133;0.067;0;0.067;0;0;0.067;0.133;0.067;0.267;0.067;0;0;0;0;0.133
"Tiago Gouveia";0;0;0;0;0;0;0;0.333;0;0.333;0;0;0;0;0.333;0
