"";"Christian Pulisic";"Davide Calabria";"Fikayo Tomori";"Malick Thiaw";"Mike Maignan";"Olivier Giroud";"Pierre Kalulu";"Rade Krunic";"Rafael Leao";"Simon Kjaer";"Theo Hernandez";"Tijjani Reijnders";"Tommaso Pobega";"Yacine Adli";"Yunus Musah"
"Christian Pulisic";0;0;0.111;0;0;0.222;0.111;0.111;0.222;0;0.111;0;0;0;0.111
"Davide Calabria";0.182;0;0.182;0;0.182;0;0;0;0;0.091;0;0.091;0.091;0.091;0.091
"Fikayo Tomori";0;0.158;0;0.105;0.053;0.053;0.105;0;0.105;0;0.105;0.158;0.053;0;0.105
"Malick Thiaw";0;0;0;0;0.5;0;0;0;0.1;0;0.4;0;0;0;0
"Mike Maignan";0;0;0.143;0.286;0;0;0.286;0;0;0;0.143;0;0;0;0.143
"Olivier Giroud";0;0;0.111;0;0;0;0.111;0;0.333;0;0;0.111;0;0;0.333
"Pierre Kalulu";0.312;0;0.125;0.125;0.062;0.188;0;0.062;0.062;0;0;0.062;0;0;0
"Rade Krunic";0;0;0.2;0.3;0;0.1;0;0;0.1;0;0.2;0.1;0;0;0
"Rafael Leao";0;0;0;0;0;0.083;0.083;0;0;0;0.333;0.167;0.083;0;0.25
"Simon Kjaer";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Theo Hernandez";0;0;0.095;0.048;0.048;0.048;0;0.143;0.286;0;0;0.19;0;0;0.143
"Tijjani Reijnders";0.167;0;0.167;0.056;0;0.056;0.056;0.056;0.333;0;0.056;0;0;0;0.056
"Tommaso Pobega";0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0
"Yacine Adli";0;0;0;0;0;0;0;0;0.5;0;0.5;0;0;0;0
"Yunus Musah";0.167;0.056;0.111;0.056;0;0;0.111;0.111;0.222;0;0.111;0.056;0;0;0
