"";"Achraf Hakimi";"Fabian Ruiz";"Gianluigi Donnarumma";"Goncalo Ramos";"Kang-In Lee";"Kylian Mbappe";"Lucas Hernandez";"Manuel Ugarte";"Marquinhos";"Milan Skriniar";"Ousmane Dembele";"Randal Kolo Muani";"Vitinha Ferreira";"Warren Zaire-Emery"
"Achraf Hakimi";0;0.032;0;0.032;0.143;0;0.016;0.063;0.127;0.016;0.27;0.127;0.079;0.095
"Fabian Ruiz";0.333;0;0;0;0;0.083;0;0;0.167;0;0;0.083;0;0.333
"Gianluigi Donnarumma";0.36;0;0;0;0;0;0;0.04;0.28;0.24;0;0.04;0.04;0
"Goncalo Ramos";0;0.25;0;0;0.25;0;0.25;0;0;0;0;0;0.25;0
"Kang-In Lee";0.455;0;0;0;0;0.091;0;0;0;0.091;0;0.091;0;0.273
"Kylian Mbappe";0.034;0;0;0.034;0;0;0.276;0.069;0.034;0;0.069;0.069;0.241;0.172
"Lucas Hernandez";0;0;0.061;0;0;0.163;0;0;0;0.265;0;0.02;0.429;0.061
"Manuel Ugarte";0.259;0;0.037;0;0;0;0.222;0;0.222;0.111;0;0;0.037;0.111
"Marquinhos";0.366;0;0.146;0;0;0.024;0.049;0.098;0;0.171;0.024;0.049;0.024;0.049
"Milan Skriniar";0.025;0.025;0.225;0;0;0;0.3;0;0.125;0;0;0;0.175;0.125
"Ousmane Dembele";0.391;0;0;0;0;0.043;0.043;0.391;0;0;0;0.043;0.043;0.043
"Randal Kolo Muani";0.176;0;0;0;0.059;0.118;0;0;0.059;0;0.235;0;0.176;0.176
"Vitinha Ferreira";0.018;0.054;0;0.018;0.018;0.357;0.179;0.036;0.054;0.036;0.036;0.054;0;0.143
"Warren Zaire-Emery";0.174;0.022;0;0;0.043;0.13;0.087;0.174;0.022;0.043;0.087;0.065;0.152;0
