"";"Anthony Racioppi";"Cedric Itten";"Cheikh Niasse";"Darian Males";"Filip Ugrinic";"Jean-Pierre Nsame";"Joel Monteiro";"Lewin Blum";"Loris Benito";"Meschack Elia";"Mohamed Ali Camara";"Noah Persson";"Saidy Janko";"Sandro Lauper";"Silvere Ganvoula";"Ulisses Garcia"
"Anthony Racioppi";0;0.053;0.053;0;0.105;0;0;0;0.316;0;0.211;0;0;0.211;0;0.053
"Cedric Itten";0;0;0.429;0;0;0;0.286;0;0;0.143;0;0;0;0.143;0;0
"Cheikh Niasse";0.083;0.042;0;0.042;0.125;0;0;0.083;0.042;0;0.167;0;0.083;0.125;0;0.208
"Darian Males";0;0;0.167;0;0;0.167;0;0;0.167;0.167;0.167;0.167;0;0;0;0
"Filip Ugrinic";0;0.053;0.105;0.053;0;0;0;0.105;0.158;0.053;0.158;0.053;0.053;0.105;0.053;0.053
"Jean-Pierre Nsame";0;0;0.167;0;0.167;0;0;0.167;0;0;0;0.167;0;0;0.167;0.167
"Joel Monteiro";0;0.083;0;0;0.333;0;0;0.333;0;0;0;0;0;0.167;0;0.083
"Lewin Blum";0;0;0.167;0;0;0;0.167;0;0;0;0.583;0;0;0.083;0;0
"Loris Benito";0.243;0.027;0.081;0.081;0.027;0.054;0.027;0.027;0;0.054;0.189;0.027;0.027;0.081;0;0.054
"Meschack Elia";0;0;0.1;0;0;0;0.2;0;0.3;0;0;0.2;0;0.1;0;0.1
"Mohamed Ali Camara";0.265;0.029;0.118;0;0;0.029;0;0.088;0.294;0.029;0;0;0;0.059;0.059;0.029
"Noah Persson";0;0;0.25;0.5;0;0;0;0;0;0.25;0;0;0;0;0;0
"Saidy Janko";0;0;0.2;0;0.2;0;0;0;0.4;0;0.2;0;0;0;0;0
"Sandro Lauper";0.037;0;0.074;0;0.074;0.037;0.037;0.259;0.185;0.111;0.148;0;0;0;0;0.037
"Silvere Ganvoula";0;0;0;0;0;0;0;0;0;0.333;0;0;0.667;0;0;0
"Ulisses Garcia";0.05;0.1;0.25;0;0.1;0.05;0.05;0;0.2;0.05;0;0;0;0.15;0;0
