"";"Alistair Johnston";"Callum McGregor";"Cameron Carter-Vickers";"Daizen Maeda";"David Turnbull";"Greg Taylor";"Hyeon-gyu Oh";"Hyun-jun Yang";"Joe Hart";"Kyogo Furuhashi";"Liam Scales";"Luis Palma";"Matt O'Riley";"Odin Holm";"Paulo Bernardo";"Tomoki Iwata"
"Alistair Johnston";0;0.216;0.189;0.216;0;0.054;0.027;0;0.027;0.054;0.027;0.054;0.081;0;0.054;0
"Callum McGregor";0.088;0;0.118;0;0;0.294;0;0.029;0.029;0;0.206;0.088;0.059;0.029;0.059;0
"Cameron Carter-Vickers";0.347;0.082;0;0.02;0.02;0.041;0;0;0.163;0;0.245;0;0.041;0.02;0.02;0
"Daizen Maeda";0.4;0;0.4;0;0;0;0;0;0;0;0;0;0.2;0;0;0
"David Turnbull";0;0;0;0;0;0.5;0;0;0;0;0;0;0;0.25;0;0.25
"Greg Taylor";0;0.067;0;0.022;0.044;0;0.089;0;0;0.022;0.356;0.222;0;0;0.178;0
"Hyeon-gyu Oh";0.25;0;0;0;0;0;0;0.25;0;0.25;0;0;0;0;0.25;0
"Hyun-jun Yang";0;0;0;0;0.75;0;0;0;0;0;0;0;0;0.25;0;0
"Joe Hart";0.1;0.05;0.2;0;0;0.1;0;0;0;0;0.45;0;0.05;0.05;0;0
"Kyogo Furuhashi";0;0.5;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0
"Liam Scales";0.036;0.055;0.327;0;0.036;0.273;0.018;0;0.127;0;0;0.091;0.018;0;0.018;0
"Luis Palma";0.2;0.2;0;0;0;0.3;0;0;0;0;0;0;0.2;0;0.1;0
"Matt O'Riley";0.167;0.167;0.167;0.083;0;0.083;0;0;0.167;0;0.083;0.083;0;0;0;0
"Odin Holm";0.2;0;0.2;0;0;0;0.2;0;0;0;0.2;0;0;0;0.2;0
"Paulo Bernardo";0.188;0.312;0.062;0;0;0.312;0;0;0;0;0.125;0;0;0;0;0
"Tomoki Iwata";0.2;0;0.2;0;0.2;0;0;0.4;0;0;0;0;0;0;0;0
