"";"Alessio Romagnoli";"Ciro Immobile";"Daichi Kamada";"Elseid Hysaj";"Felipe Anderson";"Ivan Provedel";"Luca Pellegrini";"Luis Alberto";"Manuel Lazzari";"Matias Vecino";"Matteo Guendouzi";"Mattia Zaccagni";"Nicolo Rovella";"Patric Gil";"Pedro Rodriguez";"Taty Castellanos"
"Alessio Romagnoli";0;0.03;0.03;0.273;0.03;0.182;0;0.091;0;0.091;0.061;0;0;0.212;0;0
"Ciro Immobile";0;0;0.091;0.182;0;0;0;0.091;0.091;0;0.091;0.364;0;0.091;0;0
"Daichi Kamada";0.091;0;0;0;0.455;0;0;0;0;0.091;0;0.091;0;0.273;0;0
"Elseid Hysaj";0.222;0.111;0.037;0;0;0.037;0;0.148;0;0.037;0;0.37;0;0.037;0;0
"Felipe Anderson";0;0.034;0.103;0;0;0;0;0.138;0.138;0.103;0.241;0;0.034;0.172;0;0.034
"Ivan Provedel";0.368;0;0;0;0;0;0;0.053;0;0.105;0;0;0;0.474;0;0
"Luca Pellegrini";0.25;0;0;0;0;0;0;0.25;0;0;0;0;0.25;0;0.25;0
"Luis Alberto";0.086;0.114;0;0.171;0.086;0;0;0;0.029;0.057;0.029;0.029;0;0.229;0.114;0.057
"Manuel Lazzari";0.034;0.034;0.034;0.069;0.345;0.069;0;0.034;0;0;0.069;0;0;0.276;0;0.034
"Matias Vecino";0.056;0;0.111;0.056;0.167;0.056;0;0.222;0.056;0;0;0.056;0;0.167;0;0.056
"Matteo Guendouzi";0.182;0;0;0;0.182;0.091;0;0.182;0.182;0.091;0;0;0;0;0;0.091
"Mattia Zaccagni";0;0.133;0.133;0.333;0;0.067;0;0.2;0;0.067;0;0;0;0.067;0;0
"Nicolo Rovella";0;0;0;0;0.4;0;0.2;0.2;0;0;0;0;0;0;0.2;0
"Patric Gil";0.25;0.021;0.042;0;0.062;0.125;0.021;0.104;0.229;0.083;0.021;0.021;0;0;0.021;0
"Pedro Rodriguez";0;0;0;0;0;0;0.083;0.167;0;0.083;0.167;0;0.167;0;0;0.333
"Taty Castellanos";0;0;0;0;0.25;0;0;0.25;0;0;0.25;0;0;0;0.25;0
