"";"Alireza Jahanbakhsh";"Antoni Milambo";"Ayase Ueda";"Bart Nieuwkoop";"Calvin Stengs";"David Hancko";"Gernot Trauner";"Igor Paixao";"Justin Bijlow";"Luka Ivanusec";"Lutsharel Geertruida";"Mats Wieffer";"Quilindschy Hartman";"Quinten Timber";"Ramiz Zerrouki";"Santiago Gimenez"
"Alireza Jahanbakhsh";0;0;0.077;0;0.231;0;0;0;0;0.077;0.308;0.231;0;0.077;0;0
"Antoni Milambo";0.286;0;0;0;0;0.143;0;0;0;0.143;0;0.286;0;0;0;0.143
"Ayase Ueda";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bart Nieuwkoop";0;0;0;0;0.333;0;0;0;0;0;0.167;0.333;0;0;0;0.167
"Calvin Stengs";0.081;0;0;0;0;0.054;0.054;0.081;0.027;0;0.324;0.108;0.027;0.027;0.054;0.162
"David Hancko";0.009;0;0.009;0;0.009;0;0.231;0.065;0.093;0.028;0.046;0.185;0.25;0.028;0.046;0
"Gernot Trauner";0;0;0;0;0.116;0.267;0;0;0.093;0;0.349;0.081;0.012;0.012;0.058;0.012
"Igor Paixao";0;0;0;0;0.15;0;0;0;0;0;0;0.05;0.35;0.3;0.1;0.05
"Justin Bijlow";0;0.024;0;0;0.024;0.366;0.317;0;0;0;0.146;0.049;0.049;0;0.024;0
"Luka Ivanusec";0;0.111;0;0;0.111;0.222;0;0;0;0;0;0;0.556;0;0;0
"Lutsharel Geertruida";0.06;0.024;0;0.036;0.119;0.131;0.321;0;0.06;0;0;0.179;0.012;0;0.036;0.024
"Mats Wieffer";0.07;0.014;0;0.014;0.127;0.282;0.07;0.014;0.028;0.014;0.183;0;0.028;0.056;0.056;0.042
"Quilindschy Hartman";0.017;0;0;0;0;0.322;0.051;0.119;0.085;0.051;0;0.068;0;0.085;0.169;0.034
"Quinten Timber";0;0;0;0;0.067;0;0;0.4;0;0;0;0.067;0.333;0;0.067;0.067
"Ramiz Zerrouki";0.024;0;0;0.024;0.122;0.098;0.195;0.049;0.024;0;0.024;0.195;0.195;0.024;0;0.024
"Santiago Gimenez";0.067;0;0;0;0.067;0.067;0;0.133;0;0;0;0.333;0.067;0.067;0.2;0
