"";"Christian Pulisic";"Davide Calabria";"Fikayo Tomori";"Malick Thiaw";"Mike Maignan";"Olivier Giroud";"Rafael Leao";"Ruben Loftus-Cheek";"Theo Hernandez";"Tijjani Reijnders";"Yunus Musah"
"Christian Pulisic";0;0.381;0;0.095;0;0.048;0.048;0.238;0;0.19;0
"Davide Calabria";0.381;0;0.095;0.095;0;0.095;0;0.238;0;0.048;0.048
"Fikayo Tomori";0.056;0.111;0;0.056;0.111;0.056;0;0.056;0;0.444;0.111
"Malick Thiaw";0;0;0.267;0;0.2;0.067;0.067;0;0.333;0.067;0
"Mike Maignan";0;0.154;0.231;0.154;0;0;0;0;0.154;0.154;0.154
"Olivier Giroud";0.091;0;0.091;0;0;0;0.455;0;0;0.273;0.091
"Rafael Leao";0.143;0;0;0;0;0.214;0;0;0.429;0.071;0.143
"Ruben Loftus-Cheek";0.429;0.214;0;0.071;0;0.071;0;0;0;0.071;0.143
"Theo Hernandez";0;0;0;0.125;0;0.188;0.5;0;0;0.062;0.125
"Tijjani Reijnders";0.227;0.136;0.136;0.045;0.045;0.045;0.136;0.091;0.045;0;0.091
"Yunus Musah";0;0.154;0.077;0.154;0;0.077;0.154;0;0.231;0.154;0
