"";"Ederson";"Erling Haaland";"Jack Grealish";"Jeremy Doku";"John Stones";"Josko Gvardiol";"Kalvin Phillips";"Kyle Walker";"Mateo Kovacic";"Matheus Nunes";"Nathan Ake";"Oscar Bobb";"Phil Foden";"Rico Lewis";"Ruben Dias"
"Ederson";0;0;0;0;0.094;0.156;0;0.25;0.062;0.031;0.125;0;0;0.094;0.188
"Erling Haaland";0;0;0;0;0;0;0;0;0.4;0.2;0;0;0.4;0;0
"Jack Grealish";0;0.028;0;0.111;0.056;0.222;0.028;0.028;0.056;0.194;0.056;0;0.111;0.056;0.056
"Jeremy Doku";0;0;0.444;0;0;0.333;0;0;0;0.111;0;0;0;0.111;0
"John Stones";0.044;0;0;0;0;0.156;0;0.2;0.156;0.133;0;0;0.089;0.089;0.133
"Josko Gvardiol";0.063;0;0.254;0.016;0.095;0;0.063;0;0.175;0.095;0.063;0.032;0;0.016;0.127
"Kalvin Phillips";0.091;0;0.045;0;0;0.091;0;0;0.045;0.091;0.045;0;0.045;0.273;0.273
"Kyle Walker";0.067;0;0.017;0;0.183;0;0;0;0.017;0.1;0.05;0;0.167;0.1;0.3
"Mateo Kovacic";0.025;0.05;0.15;0;0.175;0.075;0.025;0.025;0;0.125;0.05;0;0;0;0.3
"Matheus Nunes";0.016;0;0.016;0.031;0.062;0.031;0.062;0.172;0.062;0;0.031;0.047;0.156;0.172;0.141
"Nathan Ake";0.031;0.031;0.062;0.094;0;0.219;0.094;0.094;0.094;0.062;0;0;0.031;0.062;0.125
"Oscar Bobb";0;0;0;0;0;0;0;0;0.333;0.167;0.167;0;0.333;0;0
"Phil Foden";0;0.028;0.083;0;0.028;0;0.056;0.139;0.028;0.278;0.028;0;0;0.222;0.111
"Rico Lewis";0;0.038;0.075;0.019;0.057;0.019;0.057;0.094;0.019;0.113;0.019;0.019;0.17;0;0.302
"Ruben Dias";0.108;0;0.02;0.01;0.049;0.137;0.01;0.196;0.059;0.147;0.059;0;0.039;0.167;0
