"";"Amadou Haidara";"Benjamin Henrichs";"Benjamin Sesko";"Castello Lukeba";"Christoph Baumgartner";"David Raum";"Emil Forsberg";"Fabio Carvalho";"Janis Blaswich";"Lois Openda";"Lukas Klostermann";"Mohamed Simakan";"Nicolas Seiwald";"Xaver Schlager";"Xavi Simons"
"Amadou Haidara";0;0.138;0.034;0.103;0;0.103;0.207;0;0;0.103;0;0;0;0.069;0.241
"Benjamin Henrichs";0.185;0;0.037;0.074;0;0;0.111;0;0;0.037;0;0.185;0.074;0.111;0.185
"Benjamin Sesko";0;0.167;0;0.083;0;0.333;0.167;0;0;0.167;0;0;0;0;0.083
"Castello Lukeba";0.178;0.022;0;0;0.022;0.267;0.044;0;0.356;0;0;0.044;0;0.044;0.022
"Christoph Baumgartner";0;0;0;0;0;0.333;0;0.333;0;0;0.333;0;0;0;0
"David Raum";0.061;0;0.122;0.163;0;0;0.082;0.02;0.061;0.122;0;0.02;0;0.163;0.184
"Emil Forsberg";0.056;0.111;0.111;0;0;0.333;0;0;0;0.111;0;0;0;0.056;0.222
"Fabio Carvalho";0;0;0;0.25;0.25;0.25;0;0;0;0.25;0;0;0;0;0
"Janis Blaswich";0.027;0;0.027;0.405;0;0.081;0;0;0;0;0.027;0.351;0;0.027;0.054
"Lois Openda";0.071;0.286;0.071;0;0;0.143;0.071;0.071;0;0;0;0.071;0;0;0.214
"Lukas Klostermann";0;0.2;0;0.2;0.2;0;0;0;0.2;0;0;0;0;0.2;0
"Mohamed Simakan";0;0.1;0;0.1;0;0.067;0;0;0.467;0.033;0.033;0;0;0.067;0.133
"Nicolas Seiwald";0;0;0;0;0.5;0;0;0.5;0;0;0;0;0;0;0
"Xaver Schlager";0.1;0.1;0.033;0.067;0;0.2;0.067;0;0.067;0.167;0;0.1;0;0;0.1
"Xavi Simons";0.105;0.132;0.079;0.105;0;0.211;0.053;0;0.026;0.132;0.026;0.026;0;0.105;0
