"";"Alhassan Yusuf";"Arbnor Muja";"Arthur Vermeeren";"Chidera Ejuke";"George Ilenikhena";"Gyrano Kerk";"Jelle Bataille";"Jurgen Ekkelenkamp";"Kobe Corbanie";"Michel-Ange Balikwisha";"Owen Wijndal";"Ritchie De Laet";"Senne Lammens";"Soumaila Coulibaly";"Van Den Bosch";"Vincent Janssen"
"Alhassan Yusuf";0;0.031;0.062;0.062;0.031;0.031;0.156;0.031;0.094;0.094;0.094;0.062;0.031;0.062;0.125;0.031
"Arbnor Muja";0.333;0;0.333;0;0;0;0;0;0;0;0;0;0;0;0.333;0
"Arthur Vermeeren";0.182;0.045;0;0.091;0;0.045;0.091;0;0.045;0.045;0.091;0;0.182;0.091;0.091;0
"Chidera Ejuke";0;0.25;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0
"George Ilenikhena";0.25;0;0;0;0;0;0.25;0;0;0.25;0;0;0;0.25;0;0
"Gyrano Kerk";0.375;0;0;0;0.125;0;0.125;0.25;0;0;0;0.125;0;0;0;0
"Jelle Bataille";0.062;0;0.188;0.125;0.062;0.188;0;0;0;0;0;0;0.125;0.188;0.062;0
"Jurgen Ekkelenkamp";0;0;0;0;0;0.25;0;0;0;0;0.25;0.5;0;0;0;0
"Kobe Corbanie";0.154;0.154;0;0;0;0.154;0;0;0;0;0;0;0.077;0.077;0.308;0.077
"Michel-Ange Balikwisha";0;0;0.167;0;0.167;0;0;0;0;0;0.5;0.167;0;0;0;0
"Owen Wijndal";0.333;0;0.083;0;0;0;0;0.042;0;0.083;0;0;0.083;0.333;0.042;0
"Ritchie De Laet";0.083;0;0;0;0.083;0.333;0;0;0;0.083;0;0;0.083;0;0.333;0
"Senne Lammens";0.062;0;0.188;0;0;0;0.062;0;0;0;0.125;0.062;0;0.188;0.312;0
"Soumaila Coulibaly";0.062;0.031;0.031;0.031;0;0.031;0.094;0;0.031;0;0.312;0;0.281;0;0.094;0
"Van Den Bosch";0;0;0.04;0;0.04;0.16;0.04;0.04;0;0;0;0;0.4;0.28;0;0
"Vincent Janssen";0;0.5;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0
