"";"Alex Meret";"Amir Rrahmani";"Giacomo Raspadori";"Giovanni Di Lorenzo";"Giovanni Simeone";"Jens Cajuste";"Jesper Lindstrom";"Khvicha Kvaratskhelia";"Mario Rui";"Mathias Olivera";"Matteo Politano";"Natan";"Piotr Zielinski";"Stanislav Lobotka";"Zambo Anguissa"
"Alex Meret";0;0.35;0;0.1;0;0;0;0;0.15;0.1;0;0.25;0;0.05;0
"Amir Rrahmani";0.074;0;0;0.309;0;0;0.025;0.012;0.062;0;0.049;0.136;0.074;0.136;0.123
"Giacomo Raspadori";0;0.083;0;0.167;0;0;0;0.25;0;0.083;0.167;0;0.083;0.083;0.083
"Giovanni Di Lorenzo";0.022;0.176;0.055;0;0.033;0;0.033;0.055;0;0.011;0.143;0.044;0.143;0.143;0.143
"Giovanni Simeone";0;0.111;0.111;0.222;0;0.111;0.111;0.111;0;0.111;0;0;0.111;0;0
"Jens Cajuste";0;0.5;0;0;0;0;0;0;0;0;0;0.25;0;0;0.25
"Jesper Lindstrom";0;0.167;0;0.167;0;0;0;0.333;0;0;0;0;0;0;0.333
"Khvicha Kvaratskhelia";0;0;0.051;0.077;0;0;0;0;0.308;0.051;0;0.103;0.205;0.077;0.128
"Mario Rui";0.021;0.083;0;0;0;0;0;0.271;0;0;0.042;0.208;0.125;0.188;0.062
"Mathias Olivera";0;0;0;0;0;0;0;0.5;0;0;0;0.25;0;0;0.25
"Matteo Politano";0;0.079;0.053;0.342;0.053;0;0;0.079;0.026;0;0;0.026;0.132;0.105;0.105
"Natan";0.018;0.273;0;0.091;0.055;0.018;0;0.073;0.218;0.036;0;0;0.055;0.073;0.091
"Piotr Zielinski";0;0.053;0.088;0.105;0;0;0;0.105;0.088;0.018;0.14;0.088;0;0.105;0.211
"Stanislav Lobotka";0.016;0.177;0.016;0.129;0;0;0;0.097;0.194;0;0.097;0.048;0.113;0;0.113
"Zambo Anguissa";0.015;0.108;0.046;0.169;0;0;0.031;0.077;0.062;0.015;0.108;0.123;0.108;0.138;0
