"";"Alphonso Davies";"Dayot Upamecano";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kim Min-jae";"Kingsley Coman";"Konrad Laimer";"Leon Goretzka";"Leroy Sane";"Manuel Neuer";"Mathys Tel";"Noussair Mazraoui";"Serge Gnabry";"Thomas Muller"
"Alphonso Davies";0;0;0.082;0.033;0.246;0.279;0.016;0;0.18;0.066;0.033;0.066;0;0;0
"Dayot Upamecano";0.029;0;0.029;0.029;0.171;0.029;0.143;0;0.057;0;0.2;0;0.286;0;0.029
"Harry Kane";0.118;0;0;0.118;0.059;0.059;0.059;0.059;0.176;0.118;0.059;0;0;0;0.176
"Jamal Musiala";0.133;0.067;0.067;0;0.133;0;0.333;0;0;0.2;0;0;0.067;0;0
"Joshua Kimmich";0.203;0.068;0.095;0.068;0;0.095;0.122;0;0.054;0.068;0.054;0.027;0.054;0;0.095
"Kim Min-jae";0.275;0.078;0;0.02;0.118;0;0;0.02;0.137;0.02;0.314;0;0;0;0.02
"Kingsley Coman";0;0.081;0.027;0.027;0.351;0;0;0.027;0.108;0.054;0;0;0.189;0;0.135
"Konrad Laimer";0;0;0.167;0;0;0;0;0;0;0;0;0;0.167;0.333;0.333
"Leon Goretzka";0.136;0.068;0.045;0.045;0.205;0.159;0.068;0;0;0.136;0.023;0;0.114;0;0
"Leroy Sane";0.15;0;0.1;0.1;0.2;0.05;0.15;0;0.2;0;0.05;0;0;0;0
"Manuel Neuer";0.111;0.185;0.037;0;0.148;0.259;0;0.037;0.111;0;0;0;0.111;0;0
"Mathys Tel";0.625;0;0.125;0;0.125;0;0;0;0.125;0;0;0;0;0;0
"Noussair Mazraoui";0;0.15;0.05;0.025;0.175;0.025;0.325;0;0.1;0.025;0.05;0;0;0.025;0.05
"Serge Gnabry";0;0;0;0;0;0;0;0.333;0;0;0;0;0.333;0;0.333
"Thomas Muller";0.062;0;0.125;0;0.125;0.062;0.25;0.062;0;0.062;0.062;0.125;0.062;0;0
