"";"Abdulkerim Bardakci";"Angelino";"Baris Yilmaz";"Cedric Bakambu";"Davinson Sanchez";"Fernando Muslera";"Hakim Ziyech";"Kaan Ayhan";"Kerem Akturkoglu";"Lucas Torreira";"Mateus Tete";"Mauro Icardi";"Sacha Boey";"Sergio Oliveira";"Victor Nelsson";"Wilfried Zaha"
"Abdulkerim Bardakci";0;0.25;0;0;0.179;0.357;0;0.036;0;0.036;0;0;0.071;0.036;0;0.036
"Angelino";0.125;0;0;0;0.083;0.125;0.042;0.042;0.167;0.083;0;0;0;0;0;0.333
"Baris Yilmaz";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Cedric Bakambu";0;0;0;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0
"Davinson Sanchez";0.1;0.033;0;0;0;0.167;0.067;0.133;0.033;0.167;0.033;0.033;0.167;0.033;0;0.033
"Fernando Muslera";0.667;0.067;0;0;0.2;0;0;0.067;0;0;0;0;0;0;0;0
"Hakim Ziyech";0;0;0;0;0;0;0;0.083;0.25;0.25;0;0.083;0.333;0;0;0
"Kaan Ayhan";0.15;0.05;0;0;0.15;0.1;0.2;0;0;0.1;0;0;0.25;0;0;0
"Kerem Akturkoglu";0;0.133;0;0;0;0;0.2;0.067;0;0.133;0;0.133;0.067;0;0;0.267
"Lucas Torreira";0.167;0.067;0.067;0;0.233;0;0.033;0.167;0.133;0;0.033;0.067;0;0;0.033;0
"Mateus Tete";0;0;0;0;0.4;0;0;0;0.2;0.2;0;0;0;0;0.2;0
"Mauro Icardi";0;0;0;0;0.25;0;0;0;0.75;0;0;0;0;0;0;0
"Sacha Boey";0.057;0;0;0.029;0.143;0.114;0.257;0.229;0.057;0.029;0;0.057;0;0;0;0.029
"Sergio Oliveira";0.5;0.25;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0
"Victor Nelsson";0;0;0;0;0;0;0;0;0;0;0.4;0;0.2;0.4;0;0
"Wilfried Zaha";0;0.5;0;0;0;0;0.071;0.071;0;0.286;0;0;0;0.071;0;0
