"";"Ben White";"Bukayo Saka";"David Raya";"Declan Rice";"Fabio Vieira";"Gabriel Magalhaes";"Gabriel Martinelli";"Jakub Kiwior";"Jorginho";"Kai Havertz";"Leandro Trossard";"Mohamed Elneny";"Oleksandr Zinchenko";"Takehiro Tomiyasu";"William Saliba"
"Ben White";0;0.194;0.014;0;0.014;0;0.014;0;0.194;0.125;0.056;0;0;0;0.389
"Bukayo Saka";0.208;0;0;0;0;0.083;0.125;0;0.167;0.25;0.167;0;0;0;0
"David Raya";0.062;0;0;0.188;0;0.188;0;0;0.25;0;0;0;0;0;0.312
"Declan Rice";0.146;0;0;0;0.021;0.104;0.208;0.021;0.146;0.042;0.083;0;0.062;0.062;0.104
"Fabio Vieira";0.25;0;0;0.25;0;0;0;0;0;0;0;0;0.25;0;0.25
"Gabriel Magalhaes";0.042;0;0.125;0.146;0.021;0;0.167;0.021;0.083;0.021;0.042;0;0.021;0.062;0.25
"Gabriel Martinelli";0.036;0.071;0;0.357;0;0.036;0;0;0;0;0.071;0;0.214;0.179;0.036
"Jakub Kiwior";0;0;0;0;0;0.333;0;0;0.333;0.333;0;0;0;0;0
"Jorginho";0.269;0.077;0;0.115;0;0.173;0.019;0;0;0.115;0.038;0;0.058;0;0.135
"Kai Havertz";0.222;0.296;0;0.148;0;0.037;0.037;0;0.111;0;0.074;0;0.037;0;0.037
"Leandro Trossard";0.105;0.263;0.053;0.053;0;0;0.211;0;0.053;0.105;0;0;0.105;0;0.053
"Mohamed Elneny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Oleksandr Zinchenko";0;0;0.034;0.103;0;0.207;0.276;0;0.172;0.103;0.069;0.034;0;0;0
"Takehiro Tomiyasu";0;0;0;0.053;0;0.211;0.474;0;0.105;0;0;0;0;0;0.158
"William Saliba";0.347;0.028;0.083;0.125;0;0.153;0;0.014;0.125;0.014;0.028;0;0.014;0.069;0
