"";"Andre Ramalho";"Guus Til";"Hirving Lozano";"Ismael Saibari";"Jerdy Schouten";"Joey Veerman";"Johan Bakayoko";"Jordan Teze";"Luuk de Jong";"Malik Tillman";"Olivier Boscagli";"Sergino Dest";"Walter Benitez"
"Andre Ramalho";0;0.069;0.034;0;0.207;0;0.069;0.103;0.138;0;0.207;0.034;0.138
"Guus Til";0.077;0;0;0;0.154;0.154;0.385;0.154;0;0;0.077;0;0
"Hirving Lozano";0.048;0.048;0;0;0.048;0.095;0.048;0.095;0.19;0.048;0.048;0.333;0
"Ismael Saibari";0.25;0;0.25;0;0.25;0;0;0;0.25;0;0;0;0
"Jerdy Schouten";0.086;0.057;0.057;0.029;0;0.057;0.143;0.371;0.057;0;0.086;0.057;0
"Joey Veerman";0.115;0.077;0.192;0;0.115;0;0;0.077;0.154;0;0.038;0.231;0
"Johan Bakayoko";0.059;0.059;0.118;0.059;0;0.059;0;0.235;0.235;0.118;0;0;0.059
"Jordan Teze";0.073;0.073;0.024;0.049;0.171;0.073;0.366;0;0.024;0.049;0.024;0.049;0.024
"Luuk de Jong";0;0.048;0.19;0;0.143;0.238;0.048;0.095;0;0;0;0.238;0
"Malik Tillman";0;0;0.1;0.1;0.3;0;0.1;0.3;0;0;0;0.1;0
"Olivier Boscagli";0.15;0.15;0.05;0;0.15;0;0;0.15;0;0;0;0.2;0.15
"Sergino Dest";0.029;0.029;0.382;0;0;0.206;0.029;0;0.059;0.029;0.118;0;0.118
"Walter Benitez";0.111;0;0.111;0;0.111;0;0;0;0.111;0;0.556;0;0
