"";"Andriy Lunin";"Antonio Rudiger";"Brahim Diaz";"Dani Carvajal";"Eduardo Camavinga";"Federico Valverde";"Ferland Mendy";"Fran Garcia";"Joselu";"Kepa Arrizabalaga";"Lucas Vazquez";"Luka Modric";"Nacho Fernandez";"Nicolas Paz";"Rodrygo";"Toni Kroos";"Vinicius Junior"
"Andriy Lunin";0;0.214;0;0.071;0.071;0.071;0.286;0;0;0;0;0.071;0.143;0;0;0.071;0
"Antonio Rudiger";0.068;0;0;0.023;0.091;0.091;0.045;0;0;0;0.114;0;0.205;0.023;0.068;0.273;0
"Brahim Diaz";0;0.03;0;0;0.061;0.152;0.182;0;0;0;0.091;0;0.121;0;0.061;0.152;0.152
"Dani Carvajal";0;0.214;0;0;0.071;0;0;0;0.071;0;0;0.143;0.071;0.357;0;0;0.071
"Eduardo Camavinga";0;0.098;0.073;0.024;0;0.171;0.073;0.024;0;0;0.122;0.024;0.073;0.024;0.098;0.146;0.049
"Federico Valverde";0;0.1;0.15;0;0.1;0;0.025;0;0;0.025;0.25;0;0;0;0.1;0.175;0.075
"Ferland Mendy";0;0.035;0.158;0;0.088;0.018;0;0;0;0;0;0.018;0.228;0;0.053;0.211;0.193
"Fran Garcia";0.167;0;0;0;0;0;0;0;0;0;0;0.167;0.167;0;0;0.167;0.333
"Joselu";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kepa Arrizabalaga";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Lucas Vazquez";0;0.222;0;0;0.259;0.259;0.037;0;0;0;0;0;0;0;0.111;0.074;0.037
"Luka Modric";0;0;0;0.167;0;0;0;0.083;0;0;0;0;0.167;0;0;0.333;0.25
"Nacho Fernandez";0.118;0.196;0.059;0;0.02;0.078;0.176;0.02;0;0;0;0.02;0;0;0.02;0.255;0.039
"Nicolas Paz";0;0;0;0.667;0.111;0;0;0.111;0;0;0;0;0;0;0;0.111;0
"Rodrygo";0;0.043;0.174;0;0.087;0.174;0.13;0;0;0;0.043;0;0.043;0;0;0.13;0.174
"Toni Kroos";0;0.117;0.143;0;0.221;0.078;0.117;0;0;0;0.052;0.078;0.078;0.013;0.091;0;0.013
"Vinicius Junior";0;0;0.136;0;0;0.136;0.273;0;0;0;0;0.045;0;0;0.182;0.227;0
