"";"Abel Ruiz";"Al Musrati";"Alvaro Djalo";"Andre Horta";"Bruma";"Cristian Borja ";"Joao Moutinho";"Joe Mendes";"Jose Fonte";"Matheus";"Ricardo Horta";"Rodrigo Zalazar";"Sikou Niakate";"Simon Banza";"Victor Gomez";"Vitor Carvalho"
"Abel Ruiz";0;0.4;0;0.1;0.1;0;0.1;0.2;0;0;0;0;0;0;0;0.1
"Al Musrati";0;0;0;0.069;0.069;0.138;0.345;0.069;0.034;0;0;0;0.172;0;0;0.103
"Alvaro Djalo";0;0.143;0;0;0.143;0.214;0.214;0.143;0;0;0.071;0;0;0;0;0.071
"Andre Horta";0;0.286;0;0;0;0.357;0.214;0;0;0;0;0;0;0.071;0;0.071
"Bruma";0.036;0.107;0.179;0;0;0.214;0.143;0;0;0;0.036;0.143;0.036;0;0;0.107
"Cristian Borja ";0.019;0.037;0.037;0.093;0.148;0;0.204;0;0.019;0;0.019;0.093;0.167;0.037;0.019;0.111
"Joao Moutinho";0.025;0.086;0.012;0.049;0.111;0.111;0;0.099;0.086;0.012;0.086;0.074;0.049;0.037;0.074;0.086
"Joe Mendes";0.048;0.095;0.143;0.048;0.048;0;0.143;0;0.048;0.048;0;0;0;0.095;0;0.286
"Jose Fonte";0;0.029;0;0;0;0;0.143;0.029;0;0.057;0.086;0;0.2;0;0.257;0.2
"Matheus";0;0;0;0.062;0;0.062;0.062;0;0.312;0;0;0;0.375;0;0;0.125
"Ricardo Horta";0;0;0.042;0;0.042;0.083;0.208;0;0.042;0;0;0.167;0.125;0;0.167;0.125
"Rodrigo Zalazar";0;0;0.067;0;0.167;0.267;0.133;0;0;0;0.1;0;0.1;0;0.033;0.133
"Sikou Niakate";0.048;0.024;0;0.024;0.048;0.238;0.119;0;0.119;0.095;0.024;0.19;0;0;0;0.071
"Simon Banza";0;0;0;0;0;0.25;0.25;0.5;0;0;0;0;0;0;0;0
"Victor Gomez";0;0;0.034;0;0.069;0.034;0.241;0;0.103;0.034;0.207;0;0.034;0;0;0.241
"Vitor Carvalho";0.033;0.1;0.017;0;0.067;0.033;0.25;0.083;0.05;0.033;0.083;0.083;0.083;0;0.083;0
