"";"Adam Marusic";"Ciro Immobile";"Daichi Kamada";"Danilo Cataldi";"Felipe Anderson";"Gustav Isaksen";"Ivan Provedel";"Luis Alberto";"Manuel Lazzari";"Mario Gila";"Matteo Guendouzi";"Nicolo Rovella";"Patric Gil";"Pedro Rodriguez";"Taty Castellanos"
"Adam Marusic";0;0;0.028;0;0.306;0;0;0.417;0;0.056;0;0.111;0.028;0.028;0.028
"Ciro Immobile";0.167;0;0;0.167;0;0.167;0;0;0;0;0.167;0.167;0;0.167;0
"Daichi Kamada";0;0.333;0;0;0;0;0;0;0;0;0;0;0.333;0.333;0
"Danilo Cataldi";0;0;0.091;0;0;0.182;0;0;0.273;0.091;0;0;0;0.364;0
"Felipe Anderson";0.217;0;0;0;0;0.13;0;0.261;0;0.13;0.043;0.217;0;0;0
"Gustav Isaksen";0.036;0.107;0;0.071;0;0;0;0.143;0.143;0;0.25;0.214;0.036;0;0
"Ivan Provedel";0;0;0;0;0;0;0;0.053;0.053;0.105;0;0.053;0.737;0;0
"Luis Alberto";0.235;0.059;0;0;0.216;0.02;0.039;0;0;0.118;0.059;0.157;0.059;0.039;0
"Manuel Lazzari";0;0;0;0.044;0;0.378;0;0.022;0;0;0.2;0.111;0.2;0.022;0.022
"Mario Gila";0.245;0;0.019;0;0.038;0;0.132;0.075;0;0;0.038;0.132;0.321;0;0
"Matteo Guendouzi";0.026;0;0;0.026;0.026;0.342;0.053;0.053;0.237;0.053;0;0.053;0.053;0.053;0.026
"Nicolo Rovella";0.042;0;0;0;0.042;0.021;0.062;0.292;0.062;0.062;0.062;0;0.292;0.021;0.042
"Patric Gil";0.016;0;0;0.016;0;0.016;0.066;0.066;0.279;0.246;0.164;0.115;0;0.016;0
"Pedro Rodriguez";0;0;0;0.214;0;0;0;0.214;0.071;0.143;0.214;0.071;0.071;0;0
"Taty Castellanos";0.25;0;0;0;0.25;0;0;0.5;0;0;0;0;0;0;0
