"";"Alistair Johnston";"Callum McGregor";"Cameron Carter-Vickers";"David Turnbull";"Greg Taylor";"Hyeon-gyu Oh";"Hyun-jun Yang";"James Forrest";"Joe Hart";"Kyogo Furuhashi";"Liam Scales";"Matt O'Riley";"Mikey Johnston";"Paulo Bernardo"
"Alistair Johnston";0;0.149;0.319;0;0;0;0.255;0;0;0.043;0.064;0.149;0;0.021
"Callum McGregor";0.088;0;0.298;0;0.158;0;0.035;0.018;0;0.035;0.211;0.088;0.035;0.035
"Cameron Carter-Vickers";0.33;0.082;0;0;0.021;0;0.021;0.01;0.041;0;0.433;0.052;0;0.01
"David Turnbull";0;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0
"Greg Taylor";0;0.152;0.038;0;0;0;0;0.127;0.025;0.013;0.38;0.038;0.114;0.114
"Hyeon-gyu Oh";0;0.333;0.333;0;0;0;0;0;0;0;0;0;0.333;0
"Hyun-jun Yang";0.136;0.273;0.091;0;0;0.045;0;0;0;0.045;0;0.227;0;0.182
"James Forrest";0;0.067;0;0;0.333;0;0.067;0;0;0;0.333;0;0;0.2
"Joe Hart";0.037;0;0.37;0;0.111;0;0;0;0;0;0.444;0;0;0.037
"Kyogo Furuhashi";0.4;0;0;0.2;0;0;0;0;0;0;0.2;0;0.2;0
"Liam Scales";0.009;0.036;0.348;0;0.411;0;0;0.08;0.062;0.009;0;0.009;0.018;0.018
"Matt O'Riley";0.148;0.185;0.148;0;0.111;0.037;0.222;0;0;0.037;0;0;0.074;0.037
"Mikey Johnston";0.083;0.333;0.083;0;0.167;0.167;0;0;0;0;0.167;0;0;0
"Paulo Bernardo";0;0.118;0;0;0.176;0;0.059;0.176;0;0.059;0.294;0.118;0;0
