"";"Alhassan Yusuf";"Arbnor Muja";"Arthur Vermeeren";"Chidera Ejuke";"Gyrano Kerk";"Jean Butez";"Jelle Bataille";"Michel-Ange Balikwisha";"Owen Wijndal";"Soumaila Coulibaly";"Toby Alderweireld";"Vincent Janssen"
"Alhassan Yusuf";0;0.053;0.053;0.053;0;0.053;0.211;0.158;0.105;0.053;0.158;0.105
"Arbnor Muja";0.083;0;0.167;0.042;0.042;0;0.208;0.125;0.042;0.042;0.167;0.083
"Arthur Vermeeren";0;0.154;0;0.115;0.038;0.038;0.115;0.192;0.038;0.154;0.154;0
"Chidera Ejuke";0.045;0;0.227;0;0;0;0.045;0.091;0.182;0.227;0.136;0.045
"Gyrano Kerk";0.111;0;0.111;0;0;0;0.556;0.111;0;0;0;0.111
"Jean Butez";0;0;0.125;0;0;0;0.062;0;0.25;0.25;0.25;0.062
"Jelle Bataille";0.055;0.145;0.036;0.055;0.145;0.073;0;0.091;0.036;0.018;0.236;0.109
"Michel-Ange Balikwisha";0.038;0.154;0;0.154;0;0;0.154;0;0.192;0.192;0.077;0.038
"Owen Wijndal";0.075;0.15;0.075;0.2;0.025;0.05;0;0.125;0;0.25;0.025;0.025
"Soumaila Coulibaly";0.032;0.032;0.032;0.048;0;0.081;0.016;0.097;0.258;0;0.387;0.016
"Toby Alderweireld";0.019;0.074;0.056;0;0;0.093;0.407;0.019;0.019;0.315;0;0
"Vincent Janssen";0.071;0.214;0.071;0.071;0;0;0.214;0.143;0.071;0.143;0;0
