"";"Antoni Milambo";"Ayase Ueda";"Calvin Stengs";"David Hancko";"Gernot Trauner";"Igor Paixao";"Justin Bijlow";"Leo Sauer";"Luka Ivanusec";"Lutsharel Geertruida";"Mats Wieffer";"Ondrej Lingr";"Quilindschy Hartman";"Quinten Timber";"Santiago Gimenez";"Yankuba Minteh"
"Antoni Milambo";0;0.048;0.048;0;0;0;0;0.048;0.143;0.333;0.143;0.19;0;0;0.048;0
"Ayase Ueda";0.25;0;0;0;0;0;0;0.25;0.25;0;0;0.25;0;0;0;0
"Calvin Stengs";0.036;0.036;0;0.036;0.036;0.071;0;0;0;0.214;0.214;0;0.143;0.107;0.036;0.071
"David Hancko";0.016;0.016;0;0;0.238;0.016;0.048;0.063;0.032;0.111;0.079;0.016;0.317;0.016;0;0.032
"Gernot Trauner";0;0;0.116;0.116;0;0.023;0.14;0;0;0.419;0.023;0;0.14;0;0;0.023
"Igor Paixao";0;0;0.312;0.062;0;0;0;0;0;0.125;0.125;0;0.062;0.25;0.062;0
"Justin Bijlow";0;0;0;0.25;0.167;0;0;0;0.083;0;0.25;0;0.25;0;0;0
"Leo Sauer";0.222;0.111;0;0.111;0;0;0;0;0.111;0;0;0.222;0.222;0;0;0
"Luka Ivanusec";0.077;0.077;0;0.154;0;0;0;0;0;0;0.154;0.231;0.231;0.077;0;0
"Lutsharel Geertruida";0.096;0;0.055;0.178;0.137;0.068;0.041;0;0;0;0.123;0.027;0.027;0;0;0.247
"Mats Wieffer";0;0;0.034;0.153;0.085;0;0.017;0.034;0;0.153;0;0.085;0.169;0.169;0.017;0.085
"Ondrej Lingr";0.222;0;0.167;0.167;0;0;0;0;0.056;0.222;0.167;0;0;0;0;0
"Quilindschy Hartman";0.064;0;0.043;0.298;0.085;0.085;0.043;0.043;0.043;0.085;0.149;0;0;0.043;0;0.021
"Quinten Timber";0;0;0.042;0.25;0.083;0.125;0;0;0;0.125;0.042;0;0.167;0;0.042;0.125
"Santiago Gimenez";0;0;0;0;0;0;0;0;0.25;0.25;0;0;0;0.5;0;0
"Yankuba Minteh";0;0;0.45;0;0;0;0;0;0;0.25;0.1;0;0.1;0.1;0;0
