"";"Amadou Haidara";"Benjamin Sesko";"Castello Lukeba";"Christoph Baumgartner";"David Raum";"Emil Forsberg";"Fabio Carvalho";"Janis Blaswich";"Kevin Kampl";"Lois Openda";"Lukas Klostermann";"Mohamed Simakan";"Nicolas Seiwald";"Xaver Schlager";"Xavi Simons"
"Amadou Haidara";0;0;0.333;0;0;0;0;0;0;0;0.333;0.333;0;0;0
"Benjamin Sesko";0;0;0;0;0;0;0;0;0;0;0.25;0;0.25;0.25;0.25
"Castello Lukeba";0;0.02;0;0;0.2;0;0;0.22;0;0.02;0.12;0;0.14;0.16;0.12
"Christoph Baumgartner";0;0.5;0;0;0;0;0;0;0;0;0;0;0;0.5;0
"David Raum";0;0.065;0.419;0;0;0.065;0;0;0.032;0;0;0;0.194;0.097;0.129
"Emil Forsberg";0.143;0;0;0;0;0;0;0;0;0.143;0.143;0.143;0;0.429;0
"Fabio Carvalho";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Janis Blaswich";0.034;0;0.414;0;0.034;0;0;0;0;0;0.207;0.138;0.069;0.069;0.034
"Kevin Kampl";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Lois Openda";0;0;0;0;0.333;0;0;0;0;0;0;0;0;0.333;0.333
"Lukas Klostermann";0;0.04;0.12;0;0;0;0;0.36;0;0;0;0.24;0.16;0.04;0.04
"Mohamed Simakan";0.087;0;0.043;0;0.043;0.043;0;0.217;0.043;0.087;0.174;0;0.13;0.043;0.087
"Nicolas Seiwald";0.034;0;0.172;0.034;0.138;0.034;0.034;0;0.034;0.034;0.138;0.069;0;0.103;0.172
"Xaver Schlager";0;0.04;0.2;0.04;0.16;0.04;0;0.08;0;0.04;0;0.08;0.08;0;0.24
"Xavi Simons";0;0.043;0.217;0;0.174;0;0;0.087;0;0.217;0;0.043;0.087;0.13;0
