"";"Alan Varela";"Diogo Costa";"Evanilson";"Fabio Cardoso";"Francisco Conceicao";"Galeno";"Joao Mario";"Jorge Sanchez";"Mehdi Taremi";"Nico Gonzalez";"Pepe_14926";"Pepe_66499";"Stephen Eustaquio";"Zaidu Sanusi"
"Alan Varela";0;0.031;0.062;0.156;0.031;0.031;0.031;0.062;0.031;0.031;0.094;0.125;0.156;0.156
"Diogo Costa";0.077;0;0;0.423;0;0.038;0.038;0.077;0;0;0.269;0.038;0;0.038
"Evanilson";0.2;0;0;0.1;0;0.1;0;0;0.1;0;0;0.5;0;0
"Fabio Cardoso";0.111;0.306;0.028;0;0;0.056;0;0;0;0;0.111;0;0.139;0.25
"Francisco Conceicao";0.2;0;0;0;0;0.2;0;0.2;0;0.4;0;0;0;0
"Galeno";0.267;0;0;0.067;0;0;0;0;0.267;0.133;0.067;0.067;0;0.133
"Joao Mario";0.1;0;0.2;0;0;0.05;0;0;0;0;0.25;0.4;0;0
"Jorge Sanchez";0.091;0.091;0.091;0;0;0;0;0;0.273;0.091;0.182;0.091;0;0.091
"Mehdi Taremi";0;0;0.083;0.083;0.083;0;0;0;0;0;0.083;0.417;0.25;0
"Nico Gonzalez";0.167;0;0;0;0.5;0;0;0.167;0;0;0;0;0;0.167
"Pepe_14926";0.091;0.333;0;0.03;0.061;0;0.273;0.061;0;0.03;0;0.121;0;0
"Pepe_66499";0.037;0.037;0.148;0.037;0;0.111;0.037;0.037;0.222;0;0.111;0;0.148;0.074
"Stephen Eustaquio";0.056;0.056;0;0.278;0;0;0.056;0.056;0;0;0.222;0.111;0;0.167
"Zaidu Sanusi";0.087;0.043;0.043;0.391;0;0.13;0;0;0.087;0.043;0.043;0.087;0.043;0
