"";"Aaron Wan-Bissaka";"Alejandro Garnacho";"Andre Onana";"Anthony Martial";"Antony";"Bruno Fernandes";"Diogo Dalot";"Facundo Pellistri";"Harry Maguire";"Kobbie Mainoo";"Luke Shaw";"Rasmus Hojlund";"Scott McTominay";"Sofyan Amrabat";"Victor Lindelof"
"Aaron Wan-Bissaka";0;0;0.037;0.037;0.296;0.111;0;0;0.222;0.037;0;0.037;0.222;0;0
"Alejandro Garnacho";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Andre Onana";0;0;0;0;0.062;0.062;0;0;0.312;0.062;0.062;0;0.062;0.062;0.312
"Anthony Martial";0.111;0;0;0;0.333;0;0;0;0.111;0;0.111;0;0.333;0;0
"Antony";0.292;0;0;0.083;0;0.167;0.208;0.042;0.083;0;0;0;0.125;0;0
"Bruno Fernandes";0.043;0.087;0.043;0.087;0.174;0;0;0.043;0.043;0.043;0.261;0.087;0.043;0;0.043
"Diogo Dalot";0;0;0;0.25;0.5;0.25;0;0;0;0;0;0;0;0;0
"Facundo Pellistri";0;0;0;0;0;0.4;0;0;0;0;0;0;0.2;0;0.4
"Harry Maguire";0.2;0;0.15;0.05;0.05;0.1;0;0;0;0.1;0;0;0.1;0.25;0
"Kobbie Mainoo";0.125;0;0;0;0.125;0;0;0;0;0;0.375;0;0.25;0;0.125
"Luke Shaw";0;0.179;0;0.071;0;0.179;0;0.143;0.036;0.036;0;0.036;0.036;0.143;0.143
"Rasmus Hojlund";0.2;0;0.2;0;0;0.4;0;0;0;0;0.2;0;0;0;0
"Scott McTominay";0.105;0;0.053;0.105;0.368;0.158;0;0;0.053;0;0.053;0;0;0.105;0
"Sofyan Amrabat";0.188;0;0.188;0;0;0.125;0;0;0.125;0;0.125;0.062;0.125;0;0.062
"Victor Lindelof";0;0;0.222;0.056;0;0.111;0;0;0.056;0.056;0.333;0.056;0;0.111;0
