"";"Abdulkerim Bardakci";"Angelino";"Baris Yilmaz";"Dries Mertens";"Fernando Muslera";"Hakim Ziyech";"Kaan Ayhan";"Kerem Akturkoglu";"Lucas Torreira";"Mauro Icardi";"Sacha Boey";"Sergio Oliveira";"Tanguy Ndombele";"Victor Nelsson";"Wilfried Zaha"
"Abdulkerim Bardakci";0;0.175;0;0.05;0.225;0;0.35;0;0.125;0;0;0.05;0.025;0;0
"Angelino";0.231;0;0;0.077;0.115;0;0;0;0.115;0;0;0.115;0.077;0;0.269
"Baris Yilmaz";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Dries Mertens";0;0.2;0;0;0;0.3;0.1;0;0.3;0;0;0;0.1;0;0
"Fernando Muslera";0.371;0.057;0;0;0;0;0.371;0;0.086;0;0.029;0.057;0;0.029;0
"Hakim Ziyech";0;0;0;0.071;0.036;0;0.143;0.036;0.179;0;0.393;0.036;0.071;0;0.036
"Kaan Ayhan";0.354;0;0;0.042;0.167;0.146;0;0.021;0.062;0;0.167;0;0;0.042;0
"Kerem Akturkoglu";0;0;0;0;0;0;0.25;0;0.25;0;0.25;0.25;0;0;0
"Lucas Torreira";0.111;0.044;0;0.044;0.022;0.111;0.178;0.044;0;0.022;0.133;0.067;0.111;0.022;0.089
"Mauro Icardi";0;0;0;0;0;0.286;0;0;0.571;0;0.143;0;0;0;0
"Sacha Boey";0;0;0.049;0.073;0.073;0.341;0.122;0.049;0.146;0.024;0;0.073;0.049;0;0
"Sergio Oliveira";0.2;0.2;0.067;0;0.067;0.067;0;0.067;0;0.067;0.067;0;0;0;0.2
"Tanguy Ndombele";0;0.267;0;0.067;0.067;0.267;0.2;0;0.067;0;0;0;0;0;0.067
"Victor Nelsson";0;0;0;0;0.25;0;0.25;0.25;0.25;0;0;0;0;0;0
"Wilfried Zaha";0.077;0.077;0;0.231;0.077;0;0;0.154;0.154;0.154;0;0.077;0;0;0
