"";"Andre Ramalho";"Guus Til";"Hirving Lozano";"Ismael Saibari";"Jerdy Schouten";"Joey Veerman";"Johan Bakayoko";"Jordan Teze";"Luuk de Jong";"Malik Tillman";"Olivier Boscagli";"Patrick van Aanholt";"Sergino Dest";"Walter Benitez";"Yorbe Vertessen"
"Andre Ramalho";0;0.043;0.022;0;0.065;0.043;0.022;0.217;0.065;0;0.413;0;0;0.109;0
"Guus Til";0.111;0;0;0;0.222;0.222;0.111;0.222;0;0;0;0;0;0;0.111
"Hirving Lozano";0;0;0;0;0.25;0.25;0;0;0.25;0;0.25;0;0;0;0
"Ismael Saibari";0;0;0;0;0;0.143;0;0;0;0;0.286;0.143;0.143;0;0.286
"Jerdy Schouten";0.048;0.024;0.024;0.024;0;0.143;0.095;0.167;0.024;0.048;0.238;0;0.119;0.024;0.024
"Joey Veerman";0.048;0.024;0.095;0;0.143;0;0.071;0.119;0.024;0.071;0.071;0.048;0.119;0.048;0.119
"Johan Bakayoko";0.105;0.105;0;0.053;0.211;0.105;0;0.316;0;0;0.053;0;0;0.053;0
"Jordan Teze";0.19;0.024;0;0;0.119;0.119;0.31;0;0.024;0.024;0.048;0.024;0;0.095;0.024
"Luuk de Jong";0;0.5;0;0;0.25;0;0;0;0;0;0;0;0.25;0;0
"Malik Tillman";0;0;0;0.167;0.5;0.167;0;0;0;0;0;0;0.083;0;0.083
"Olivier Boscagli";0.216;0;0.039;0.02;0.078;0.059;0.039;0.039;0;0;0;0;0.333;0.078;0.098
"Patrick van Aanholt";0;0;0;0.222;0;0.556;0;0;0;0.111;0;0;0;0;0.111
"Sergino Dest";0;0;0.088;0.088;0.059;0.265;0.029;0.029;0.059;0.029;0.118;0;0;0.029;0.206
"Walter Benitez";0.385;0;0;0;0.077;0;0;0.077;0;0;0.385;0;0.077;0;0
"Yorbe Vertessen";0;0.059;0;0.059;0;0.353;0.059;0.059;0;0.118;0.059;0.059;0.176;0;0
