"";"Aleksandar Pavlovic";"Alphonso Davies";"Dayot Upamecano";"Frans Kratzig";"Harry Kane";"Joshua Kimmich";"Kingsley Coman";"Konrad Laimer";"Leon Goretzka";"Leroy Sane";"Manuel Neuer";"Mathys Tel";"Raphael Guerreiro";"Serge Gnabry";"Thomas Muller"
"Aleksandar Pavlovic";0;0.125;0.083;0;0;0.458;0;0.083;0.083;0.083;0.042;0;0;0.042;0
"Alphonso Davies";0.061;0;0.318;0;0.03;0.076;0.091;0.015;0.121;0.045;0;0.106;0.136;0;0
"Dayot Upamecano";0.062;0.229;0;0.042;0.021;0.198;0.01;0.01;0.26;0;0.01;0.094;0.052;0;0.01
"Frans Kratzig";0.167;0;0.333;0;0;0.167;0;0;0.167;0.167;0;0;0;0;0
"Harry Kane";0;0.111;0;0;0;0.111;0.111;0;0.222;0;0.111;0.222;0.111;0;0
"Joshua Kimmich";0.051;0.051;0.167;0.013;0.013;0;0.038;0.167;0.218;0.038;0.013;0.038;0.115;0.026;0.051
"Kingsley Coman";0;0.111;0;0;0.037;0.111;0;0.185;0.222;0;0;0.037;0.148;0;0.148
"Konrad Laimer";0.043;0;0.043;0;0;0.157;0.114;0;0.471;0;0;0.029;0.014;0.071;0.057
"Leon Goretzka";0.058;0.025;0.35;0;0.008;0.158;0.025;0.225;0;0;0.058;0;0.058;0.017;0.017
"Leroy Sane";0.333;0.167;0;0;0;0;0;0.167;0;0;0;0;0;0.167;0.167
"Manuel Neuer";0;0.333;0.222;0;0;0.056;0;0.056;0.333;0;0;0;0;0;0
"Mathys Tel";0;0.227;0.136;0;0.091;0.182;0.045;0.045;0.045;0;0;0;0.136;0;0.091
"Raphael Guerreiro";0;0.171;0.257;0;0.057;0.086;0.114;0.029;0.086;0;0;0.086;0;0;0.114
"Serge Gnabry";0.091;0;0;0;0;0.364;0;0.455;0.091;0;0;0;0;0;0
"Thomas Muller";0;0.1;0.05;0;0.05;0.1;0.2;0.2;0.1;0;0;0.1;0.1;0;0
