"";"Denis Vavro";"Diogo Goncalves";"Elias Achouri";"Elias Jelert";"Kamil Grabara";"Kevin Diks";"Lukas Lerager";"Mohamed Elyounoussi";"Nicolai Boilesen";"Orri Oskarsson";"Peter Ankersen";"Rasmus Falk";"Roony Bardghji";"Viktor Claesson"
"Denis Vavro";0;0.091;0;0.25;0.182;0.045;0;0;0.227;0;0;0.136;0.068;0
"Diogo Goncalves";0.171;0;0;0.171;0.086;0.057;0.057;0.029;0.2;0.029;0;0.086;0.029;0.086
"Elias Achouri";0;0.2;0;0.4;0;0;0;0;0;0.4;0;0;0;0
"Elias Jelert";0.159;0.091;0.045;0;0.045;0.023;0.068;0.045;0.045;0.068;0;0.182;0.182;0.045
"Kamil Grabara";0.231;0.038;0;0.038;0;0.115;0;0;0.462;0;0;0.115;0;0
"Kevin Diks";0.032;0;0.065;0.065;0.129;0;0.032;0.194;0.161;0;0.032;0.194;0.065;0.032
"Lukas Lerager";0;0.2;0.133;0.067;0;0.067;0;0.067;0.067;0.067;0;0.067;0.133;0.133
"Mohamed Elyounoussi";0;0.286;0;0;0;0.286;0.071;0;0;0;0;0.143;0.071;0.143
"Nicolai Boilesen";0.143;0.086;0.029;0.029;0.114;0.114;0.057;0.029;0;0;0;0.314;0.057;0.029
"Orri Oskarsson";0;0;0.2;0.4;0;0;0;0.2;0;0;0;0.2;0;0
"Peter Ankersen";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Rasmus Falk";0.222;0.133;0.022;0.156;0.044;0.089;0.067;0.022;0.111;0.022;0.022;0;0.022;0.067
"Roony Bardghji";0.222;0.167;0;0.167;0;0.111;0.056;0;0;0;0;0.222;0;0.056
"Viktor Claesson";0;0.154;0;0.231;0;0;0.231;0.231;0;0;0;0.077;0.077;0
